	Kingdom:Phylum:Class:Order:Family:Genus:Species
SV_1265	Bacteria:Proteobacteria:Gammaproteobacteria:Enterobacterales:Enterobacteriaceae:NA:NA
SV_1266	Bacteria:Bacteroidota:Bacteroidia:Bacteroidales:Bacteroidaceae:Bacteroides:NA
SV_1267	Bacteria:Firmicutes:Bacilli:Lactobacillales:Lactobacillaceae:Limosilactobacillus:NA
SV_1268	Bacteria:Firmicutes:Negativicutes:Veillonellales-Selenomonadales:Veillonellaceae:Veillonella:NA
SV_1269	Bacteria:Firmicutes:Negativicutes:Veillonellales-Selenomonadales:Selenomonadaceae:Selenomonas:NA
SV_1270	Bacteria:Proteobacteria:Gammaproteobacteria:Burkholderiales:Neisseriaceae:Neisseria:NA
SV_1271	Bacteria:Actinobacteriota:Coriobacteriia:Coriobacteriales:Atopobiaceae:Atopobium:NA
SV_1272	Bacteria:Bacteroidota:Bacteroidia:Bacteroidales:Porphyromonadaceae:Porphyromonas:NA
SV_1273	Bacteria:Firmicutes:Clostridia:Peptostreptococcales-Tissierellales:Family XI:Peptoniphilus:NA
SV_1274	Bacteria:Firmicutes:Clostridia:Oscillospirales:Hungateiclostridiaceae:Fastidiosipila:NA
SV_1275	Bacteria:Firmicutes:Clostridia:Peptostreptococcales-Tissierellales:Family XI:Anaerococcus:NA
SV_1276	Bacteria:Spirochaetota:Spirochaetia:Spirochaetales:Spirochaetaceae:Treponema:NA
SV_1277	Bacteria:Firmicutes:Negativicutes:Veillonellales-Selenomonadales:Veillonellaceae:Veillonella:NA
SV_1278	Bacteria:Firmicutes:Clostridia:Lachnospirales:Lachnospiraceae:[Eubacterium] xylanophilum group:NA
SV_1279	Bacteria:Actinobacteriota:Actinobacteria:Bifidobacteriales:Bifidobacteriaceae:Gardnerella:NA
SV_1280	Bacteria:Firmicutes:Bacilli:Lactobacillales:Streptococcaceae:Streptococcus:NA
SV_1281	Bacteria:Bacteroidota:Bacteroidia:Flavobacteriales:Flavobacteriaceae:Capnocytophaga:NA
SV_1282	Bacteria:Firmicutes:Negativicutes:Veillonellales-Selenomonadales:Veillonellaceae:Veillonella:NA
SV_1283	Bacteria:Bacteroidota:Bacteroidia:Bacteroidales:Prevotellaceae:Prevotella_7:bergensis
SV_1284	Bacteria:Bacteroidota:Bacteroidia:Bacteroidales:Bacteroidaceae:Bacteroides:NA
SV_1285	Bacteria:Actinobacteriota:Actinobacteria:Micrococcales:Microbacteriaceae:Pseudoclavibacter:NA
SV_1286	Bacteria:Firmicutes:Clostridia:Lachnospirales:Lachnospiraceae:Johnsonella:NA
SV_1287	Bacteria:Firmicutes:Clostridia:Peptostreptococcales-Tissierellales:Peptostreptococcaceae:[Eubacterium] yurii group:NA
SV_1288	Bacteria:Bacteroidota:Bacteroidia:Bacteroidales:Prevotellaceae:Prevotella:NA
SV_1289	Bacteria:Bacteroidota:Bacteroidia:Bacteroidales:Bacteroidaceae:Bacteroides:salyersiae
SV_1290	Bacteria:Firmicutes:Clostridia:Lachnospirales:Lachnospiraceae:Hungatella:NA
SV_1291	Bacteria:Firmicutes:Clostridia:Lachnospirales:Lachnospiraceae:[Eubacterium] xylanophilum group:NA
SV_1292	Bacteria:Proteobacteria:Gammaproteobacteria:Burkholderiales:Alcaligenaceae:Oligella:NA
SV_1293	Bacteria:Firmicutes:Clostridia:Oscillospirales:Ruminococcaceae:Phocea:NA
SV_1294	Bacteria:Bacteroidota:Bacteroidia:Bacteroidales:Prevotellaceae:Prevotella:saccharolytica
SV_1295	Bacteria:Firmicutes:Clostridia:Peptostreptococcales-Tissierellales:Anaerovoracaceae:Family XIII AD3011 group:NA
SV_1296	Bacteria:Firmicutes:Clostridia:Lachnospirales:Lachnospiraceae:Lachnospiraceae UCG-010:NA
SV_1297	Bacteria:Bacteroidota:Bacteroidia:Bacteroidales:Bacteroidaceae:Bacteroides:NA
SV_1298	Bacteria:Firmicutes:Clostridia:Lachnospirales:Lachnospiraceae:Lachnospiraceae UCG-010:NA
SV_1299	Bacteria:Firmicutes:Clostridia:Lachnospirales:Lachnospiraceae:Lachnoclostridium:NA
SV_1300	Bacteria:Actinobacteriota:Actinobacteria:Actinomycetales:Actinomycetaceae:Actinomyces:NA
SV_1301	Bacteria:Firmicutes:Negativicutes:Veillonellales-Selenomonadales:Veillonellaceae:Dialister:NA
SV_1302	Bacteria:Firmicutes:Clostridia:Oscillospirales:Oscillospiraceae:Flavonifractor:NA
SV_1303	Bacteria:Fusobacteriota:Fusobacteriia:Fusobacteriales:Leptotrichiaceae:Leptotrichia:NA
SV_1304	Bacteria:Bacteroidota:Bacteroidia:Bacteroidales:Prevotellaceae:Prevotella:NA
SV_1305	Bacteria:Fusobacteriota:Fusobacteriia:Fusobacteriales:Leptotrichiaceae:Leptotrichia:NA
SV_1306	Bacteria:Firmicutes:Clostridia:Oscillospirales:Ruminococcaceae:NA:NA
SV_1307	Bacteria:Firmicutes:Clostridia:Lachnospirales:Lachnospiraceae:Lachnospiraceae NK4A136 group:NA
SV_1308	Bacteria:Firmicutes:Clostridia:Oscillospirales:Oscillospiraceae:UCG-005:NA
SV_1309	Bacteria:Firmicutes:Clostridia:Christensenellales:Christensenellaceae:Christensenellaceae R-7 group:NA
SV_1310	Bacteria:Campylobacterota:Campylobacteria:Campylobacterales:Campylobacteraceae:Campylobacter:curvus
SV_1311	Bacteria:Firmicutes:Clostridia:Peptostreptococcales-Tissierellales:Anaerovoracaceae:[Eubacterium] nodatum group:NA
SV_1312	Bacteria:Firmicutes:Negativicutes:Veillonellales-Selenomonadales:Veillonellaceae:Dialister:NA
SV_1313	Bacteria:Proteobacteria:Gammaproteobacteria:Burkholderiales:Neisseriaceae:Neisseria:NA
SV_1314	Bacteria:Actinobacteriota:Coriobacteriia:Coriobacteriales:Atopobiaceae:Olsenella:NA
SV_1315	Bacteria:Firmicutes:Clostridia:Lachnospirales:Lachnospiraceae:Moryella:NA
SV_1316	Bacteria:Firmicutes:Bacilli:Erysipelotrichales:Erysipelotrichaceae:Bulleidia:NA
SV_1317	Bacteria:Bacteroidota:Bacteroidia:Bacteroidales:Prevotellaceae:Prevotella_7:NA
SV_1318	Bacteria:Bacteroidota:Bacteroidia:Flavobacteriales:Flavobacteriaceae:Capnocytophaga:NA
SV_1319	Bacteria:Firmicutes:Clostridia:Peptostreptococcales-Tissierellales:Family XI:Murdochiella:vaginalis
SV_1320	Bacteria:Firmicutes:Clostridia:Peptococcales:Peptococcaceae:NA:NA
SV_1321	Bacteria:Bacteroidota:Bacteroidia:Bacteroidales:Prevotellaceae:Prevotella_7:multiformis
SV_1322	Bacteria:Firmicutes:Clostridia:Lachnospirales:Lachnospiraceae:NA:NA
SV_1323	Bacteria:Bacteroidota:Bacteroidia:Bacteroidales:Muribaculaceae:NA:NA
SV_1324	Bacteria:Firmicutes:Clostridia:Lachnospirales:Lachnospiraceae:Howardella:NA
SV_1325	Bacteria:Actinobacteriota:Coriobacteriia:Coriobacteriales:Eggerthellaceae:Gordonibacter:urolithinfaciens
SV_1326	Bacteria:Actinobacteriota:Actinobacteria:Corynebacteriales:Corynebacteriaceae:Corynebacterium:NA
SV_1327	Bacteria:Actinobacteriota:Actinobacteria:Micrococcales:Microbacteriaceae:Leucobacter:NA
SV_1328	Bacteria:Firmicutes:Negativicutes:Veillonellales-Selenomonadales:Selenomonadaceae:Centipeda:NA
SV_1329	Bacteria:Firmicutes:Clostridia:Peptostreptococcales-Tissierellales:Family XI:Anaerococcus:NA
SV_1330	Bacteria:Firmicutes:Clostridia:Lachnospirales:Lachnospiraceae:Lachnoclostridium:NA
SV_1331	Bacteria:Fusobacteriota:Fusobacteriia:Fusobacteriales:Leptotrichiaceae:Leptotrichia:trevisanii
SV_1332	Bacteria:Firmicutes:Bacilli:Staphylococcales:Staphylococcaceae:Nosocomiicoccus:NA
SV_1333	Bacteria:Spirochaetota:Spirochaetia:Spirochaetales:Spirochaetaceae:Treponema:NA
SV_1334	Bacteria:Firmicutes:Negativicutes:Veillonellales-Selenomonadales:Veillonellaceae:Veillonella:NA
SV_1335	Bacteria:Firmicutes:Clostridia:Clostridiales:Clostridiaceae:Clostridium sensu stricto 1:NA
SV_1336	Bacteria:Firmicutes:Clostridia:Christensenellales:Christensenellaceae:Christensenellaceae R-7 group:NA
SV_1337	Bacteria:Firmicutes:Clostridia:Lachnospirales:Lachnospiraceae:[Eubacterium] oxidoreducens group:NA
SV_1338	Bacteria:Firmicutes:Clostridia:Oscillospirales:Oscillospiraceae:UCG-002:NA
SV_1339	Bacteria:Actinobacteriota:Actinobacteria:Corynebacteriales:Corynebacteriaceae:NA:NA
SV_1340	Bacteria:Fusobacteriota:Fusobacteriia:Fusobacteriales:Fusobacteriaceae:Fusobacterium:NA
SV_1341	Bacteria:Firmicutes:Clostridia:Oscillospirales:Oscillospiraceae:NA:NA
SV_1342	Bacteria:Firmicutes:Bacilli:Mycoplasmatales:Mycoplasmataceae:Mycoplasma:NA
SV_1343	Bacteria:Proteobacteria:Gammaproteobacteria:Burkholderiales:Neisseriaceae:Eikenella:corrodens
SV_1344	Bacteria:Firmicutes:Clostridia:Peptostreptococcales-Tissierellales:Anaerovoracaceae:Family XIII UCG-001:NA
SV_1345	Bacteria:Actinobacteriota:Actinobacteria:Actinomycetales:Actinomycetaceae:Actinomyces:NA
SV_1346	Bacteria:Firmicutes:Clostridia:Oscillospirales:Oscillospiraceae:UCG-005:NA
SV_1347	Bacteria:Bacteroidota:Bacteroidia:Bacteroidales:Bacteroidaceae:Bacteroides:NA
SV_1348	Bacteria:Bacteroidota:Bacteroidia:Bacteroidales:Prevotellaceae:Prevotella_7:NA
SV_1349	Bacteria:Bacteroidota:Bacteroidia:Bacteroidales:Prevotellaceae:Prevotella_7:NA
SV_1350	Bacteria:Firmicutes:Clostridia:Peptostreptococcales-Tissierellales:Family XI:Murdochiella:NA
SV_1351	Bacteria:Actinobacteriota:Actinobacteria:Micrococcales:Brevibacteriaceae:Brevibacterium:NA
SV_1352	Bacteria:Bacteroidota:Bacteroidia:Bacteroidales:Bacteroidaceae:Bacteroides:NA
SV_1353	Bacteria:Actinobacteriota:Actinobacteria:Micrococcales:Micrococcaceae:Pseudoglutamicibacter:NA
SV_1354	Bacteria:Bacteroidota:Bacteroidia:Bacteroidales:Prevotellaceae:Prevotella_7:NA
SV_1355	Bacteria:Firmicutes:Clostridia:Lachnospirales:Lachnospiraceae:[Eubacterium] xylanophilum group:NA
SV_1356	Bacteria:Firmicutes:Clostridia:Peptostreptococcales-Tissierellales:Anaerovoracaceae:Family XIII AD3011 group:NA
SV_1357	Bacteria:Firmicutes:Bacilli:Lactobacillales:Enterococcaceae:Enterococcus:NA
SV_1358	Bacteria:Campylobacterota:Campylobacteria:Campylobacterales:Campylobacteraceae:Campylobacter:NA
SV_1359	Bacteria:Firmicutes:Negativicutes:Veillonellales-Selenomonadales:Selenomonadaceae:Centipeda:NA
SV_1360	Bacteria:Spirochaetota:Spirochaetia:Spirochaetales:Spirochaetaceae:Treponema:amylovorum
SV_1361	Bacteria:Fusobacteriota:Fusobacteriia:Fusobacteriales:Fusobacteriaceae:Fusobacterium:NA
SV_1362	Bacteria:Verrucomicrobiota:Lentisphaeria:Victivallales:vadinBE97:NA:NA
SV_1363	Bacteria:Firmicutes:Clostridia:Lachnospirales:Lachnospiraceae:Lachnoclostridium:NA
SV_1364	Bacteria:Actinobacteriota:Actinobacteria:Micrococcales:Micrococcaceae:Rothia:NA
SV_1365	Bacteria:Firmicutes:Clostridia:Lachnospirales:Lachnospiraceae:Lachnospiraceae UCG-004:NA
SV_1366	Bacteria:Firmicutes:Clostridia:Clostridiales:Clostridiaceae:Clostridium sensu stricto 1:NA
SV_1367	Bacteria:Fusobacteriota:Fusobacteriia:Fusobacteriales:Leptotrichiaceae:Leptotrichia:NA
SV_1368	Bacteria:Spirochaetota:Spirochaetia:Spirochaetales:Spirochaetaceae:Treponema:NA
SV_1369	Bacteria:Campylobacterota:Campylobacteria:Campylobacterales:Campylobacteraceae:Campylobacter:NA
SV_1370	Bacteria:Firmicutes:Clostridia:Oscillospirales:[Eubacterium] coprostanoligenes group:NA:NA
SV_1371	Bacteria:Firmicutes:Clostridia:Lachnospirales:Lachnospiraceae:Lachnoclostridium:NA
SV_1372	Bacteria:Firmicutes:Bacilli:Lactobacillales:Lactobacillaceae:Lacticaseibacillus:NA
SV_1373	Bacteria:Firmicutes:Clostridia:Christensenellales:Christensenellaceae:Christensenellaceae R-7 group:NA
SV_1374	Bacteria:Patescibacteria:Saccharimonadia:Saccharimonadales:Saccharimonadaceae:Candidatus Saccharimonas:NA
SV_1375	Bacteria:Bacteroidota:Bacteroidia:Flavobacteriales:Weeksellaceae:Bergeyella:NA
SV_1376	Bacteria:Bacteroidota:Bacteroidia:Bacteroidales:Prevotellaceae:Prevotella_7:NA
SV_1377	Bacteria:Bacteroidota:Bacteroidia:Bacteroidales:Porphyromonadaceae:Porphyromonas:NA
SV_1378	Bacteria:Firmicutes:Clostridia:Peptostreptococcales-Tissierellales:Family XI:Murdochiella:NA
SV_1379	Bacteria:Bacteroidota:Bacteroidia:Bacteroidales:Bacteroidaceae:Bacteroides:NA
SV_1380	Bacteria:Bacteroidota:Bacteroidia:Bacteroidales:Prevotellaceae:Prevotella_7:NA
SV_1381	Bacteria:Fusobacteriota:Fusobacteriia:Fusobacteriales:Leptotrichiaceae:Leptotrichia:NA
SV_1382	Bacteria:Firmicutes:Clostridia:Lachnospirales:Lachnospiraceae:Lachnoclostridium:NA
SV_1383	Bacteria:Firmicutes:Clostridia:Oscillospirales:Oscillospiraceae:UCG-005:NA
SV_1384	Bacteria:Bacteroidota:Bacteroidia:Bacteroidales:Prevotellaceae:Prevotella_7:NA
SV_1385	Bacteria:Firmicutes:Negativicutes:Veillonellales-Selenomonadales:Veillonellaceae:Dialister:NA
SV_1386	Bacteria:Proteobacteria:Gammaproteobacteria:Burkholderiales:Neisseriaceae:Neisseria:NA
SV_1387	Bacteria:Bacteroidota:Bacteroidia:Bacteroidales:Prevotellaceae:Prevotella_7:NA
SV_1388	Bacteria:Firmicutes:Clostridia:Lachnospirales:Lachnospiraceae:Oribacterium:NA
SV_1389	Bacteria:Firmicutes:Clostridia:Oscillospirales:Oscillospiraceae:NA:NA
SV_1390	Bacteria:Proteobacteria:Gammaproteobacteria:Burkholderiales:Neisseriaceae:Neisseria:NA
SV_1391	Bacteria:Bacteroidota:Bacteroidia:Flavobacteriales:Flavobacteriaceae:Capnocytophaga:NA
SV_1392	Bacteria:Synergistota:Synergistia:Synergistales:Synergistaceae:Fretibacterium:NA
SV_1393	Bacteria:Fusobacteriota:Fusobacteriia:Fusobacteriales:Fusobacteriaceae:Fusobacterium:NA
SV_1394	Bacteria:Firmicutes:Clostridia:Peptostreptococcales-Tissierellales:Family XI:Murdochiella:NA
SV_1395	Bacteria:Firmicutes:Clostridia:Christensenellales:Christensenellaceae:NA:NA
SV_1396	Bacteria:Firmicutes:Clostridia:Lachnospirales:Defluviitaleaceae:Defluviitaleaceae UCG-011:NA
SV_1397	Bacteria:Bacteroidota:Bacteroidia:Bacteroidales:Prevotellaceae:Prevotella:NA
SV_1398	Bacteria:Actinobacteriota:Actinobacteria:Micrococcales:Brevibacteriaceae:Brevibacterium:NA
SV_1399	Bacteria:Firmicutes:Clostridia:Lachnospirales:Lachnospiraceae:GCA-900066575:NA
SV_1400	Bacteria:Fusobacteriota:Fusobacteriia:Fusobacteriales:Fusobacteriaceae:Fusobacterium:NA
SV_1401	Bacteria:Proteobacteria:Gammaproteobacteria:Burkholderiales:Neisseriaceae:NA:NA
SV_1402	Bacteria:Proteobacteria:Gammaproteobacteria:Burkholderiales:Comamonadaceae:Comamonas:NA
SV_1403	Bacteria:Firmicutes:Clostridia:Christensenellales:Christensenellaceae:Christensenellaceae R-7 group:NA
SV_1404	Bacteria:Firmicutes:Clostridia:Lachnospirales:Lachnospiraceae:Lachnoclostridium:NA
SV_1405	Bacteria:Firmicutes:Clostridia:Oscillospirales:Oscillospiraceae:NA:NA
SV_1406	Bacteria:Firmicutes:Clostridia:Lachnospirales:Lachnospiraceae:[Eubacterium] ventriosum group:NA
SV_1407	Bacteria:Bacteroidota:Bacteroidia:Flavobacteriales:Flavobacteriaceae:Capnocytophaga:NA
SV_1408	Bacteria:Fusobacteriota:Fusobacteriia:Fusobacteriales:Leptotrichiaceae:Leptotrichia:NA
SV_1409	Bacteria:Firmicutes:Clostridia:Peptostreptococcales-Tissierellales:Peptostreptococcaceae:[Eubacterium] yurii group:NA
SV_1410	Bacteria:Bacteroidota:Bacteroidia:Bacteroidales:Prevotellaceae:Prevotella:NA
SV_1411	Bacteria:Fusobacteriota:Fusobacteriia:Fusobacteriales:Fusobacteriaceae:Fusobacterium:NA
SV_1412	Bacteria:Proteobacteria:Gammaproteobacteria:Enterobacterales:Pasteurellaceae:Necropsobacter:NA
SV_1413	Bacteria:Bacteroidota:Bacteroidia:Bacteroidales:Porphyromonadaceae:Porphyromonas:NA
SV_1414	Bacteria:Firmicutes:Clostridia:Oscillospirales:UCG-010:NA:NA
SV_1415	Bacteria:Bacteroidota:Bacteroidia:Bacteroidales:Porphyromonadaceae:Porphyromonas:NA
SV_1416	Bacteria:Proteobacteria:Gammaproteobacteria:Enterobacterales:Pasteurellaceae:NA:NA
SV_1417	Bacteria:Bacteroidota:Bacteroidia:Bacteroidales:Prevotellaceae:Alloprevotella:NA
SV_1418	Bacteria:Firmicutes:Bacilli:Lactobacillales:Aerococcaceae:Aerococcus:christensenii
SV_1419	Bacteria:Spirochaetota:Spirochaetia:Spirochaetales:Spirochaetaceae:Treponema:NA
SV_1420	Bacteria:Firmicutes:Clostridia:Lachnospirales:Lachnospiraceae:Johnsonella:NA
SV_1421	Bacteria:Bacteroidota:Bacteroidia:Bacteroidales:Prevotellaceae:Alloprevotella:NA
SV_1422	Bacteria:Bacteroidota:Bacteroidia:Bacteroidales:Tannerellaceae:Tannerella:NA
SV_1423	Bacteria:Proteobacteria:Gammaproteobacteria:Burkholderiales:Sutterellaceae:Sutterella:NA
SV_1424	Bacteria:Firmicutes:Clostridia:Lachnospirales:Lachnospiraceae:NA:NA
SV_1425	Bacteria:Firmicutes:Clostridia:Lachnospirales:Lachnospiraceae:[Ruminococcus] torques group:NA
SV_1426	Bacteria:Firmicutes:Clostridia:Oscillospirales:Ruminococcaceae:Caproiciproducens:NA
SV_1427	Bacteria:Bacteroidota:Bacteroidia:Bacteroidales:Barnesiellaceae:Coprobacter:fastidiosus
SV_1428	Bacteria:Firmicutes:Clostridia:Oscillospirales:UCG-010:NA:NA
SV_1429	Bacteria:Firmicutes:Clostridia:Lachnospirales:Lachnospiraceae:NA:NA
SV_1430	Bacteria:Patescibacteria:Saccharimonadia:Saccharimonadales:Saccharimonadaceae:NA:NA
SV_1431	Bacteria:Fusobacteriota:Fusobacteriia:Fusobacteriales:Leptotrichiaceae:Streptobacillus:NA
SV_1432	Bacteria:Firmicutes:Clostridia:Lachnospirales:Lachnospiraceae:Lachnoclostridium:NA
SV_1433	Bacteria:Firmicutes:Clostridia:Oscillospirales:Ruminococcaceae:Incertae Sedis:NA
SV_1434	Bacteria:Firmicutes:Clostridia:Oscillospirales:Oscillospiraceae:Colidextribacter:NA
SV_1435	Bacteria:Firmicutes:Clostridia:Peptostreptococcales-Tissierellales:Anaerovoracaceae:Family XIII AD3011 group:NA
SV_1436	Bacteria:Proteobacteria:Gammaproteobacteria:Cardiobacteriales:Cardiobacteriaceae:Cardiobacterium:NA
SV_1437	Bacteria:Firmicutes:Clostridia:Christensenellales:Christensenellaceae:NA:NA
SV_1438	Bacteria:Firmicutes:Clostridia:Oscillospirales:Ruminococcaceae:Angelakisella:NA
SV_1439	Bacteria:Firmicutes:Clostridia:Peptostreptococcales-Tissierellales:Family XI:Ezakiella:NA
SV_1440	Bacteria:Bacteroidota:Bacteroidia:Bacteroidales:Bacteroidaceae:Bacteroides:NA
SV_1441	Bacteria:Bacteroidota:Bacteroidia:Bacteroidales:Bacteroidaceae:Bacteroides:NA
SV_1442	Bacteria:Firmicutes:Bacilli:Lactobacillales:Lactobacillaceae:Lactobacillus:NA
SV_1443	Bacteria:Bacteroidota:Bacteroidia:Bacteroidales:Prevotellaceae:Prevotella_7:NA
SV_1444	Bacteria:Firmicutes:Negativicutes:Veillonellales-Selenomonadales:Selenomonadaceae:NA:NA
SV_1445	Bacteria:Fusobacteriota:Fusobacteriia:Fusobacteriales:Fusobacteriaceae:Fusobacterium:NA
SV_1446	Bacteria:Actinobacteriota:Coriobacteriia:Coriobacteriales:Atopobiaceae:Atopobium:NA
SV_1447	Bacteria:Actinobacteriota:Coriobacteriia:Coriobacteriales:Coriobacteriaceae:Collinsella:NA
SV_1448	Bacteria:Firmicutes:Clostridia:Lachnospirales:Lachnospiraceae:[Eubacterium] fissicatena group:NA
SV_1449	Bacteria:Firmicutes:Bacilli:Erysipelotrichales:Erysipelatoclostridiaceae:NA:NA
SV_1450	Bacteria:Firmicutes:Clostridia:Oscillospirales:Oscillospiraceae:UCG-005:NA
SV_1451	Bacteria:Bacteroidota:Bacteroidia:Bacteroidales:Prevotellaceae:Prevotella_7:NA
SV_1452	Bacteria:Actinobacteriota:Actinobacteria:Corynebacteriales:Corynebacteriaceae:Corynebacterium:NA
SV_1453	Bacteria:Bacteroidota:Bacteroidia:Bacteroidales:Tannerellaceae:Tannerella:NA
SV_1454	Bacteria:Firmicutes:Clostridia:Lachnospirales:Lachnospiraceae:Lachnoanaerobaculum:NA
SV_1455	Bacteria:Firmicutes:Clostridia:Lachnospirales:Lachnospiraceae:Catonella:NA
SV_1456	Bacteria:Firmicutes:Clostridia:Oscillospirales:Ruminococcaceae:NA:NA
SV_1457	Bacteria:Bacteroidota:Bacteroidia:Bacteroidales:Bacteroidaceae:Bacteroides:NA
SV_1458	Bacteria:Firmicutes:Clostridia:Lachnospirales:Lachnospiraceae:NA:NA
SV_1459	Bacteria:Firmicutes:Clostridia:Lachnospirales:Lachnospiraceae:Coprococcus:NA
SV_1460	Bacteria:Firmicutes:Clostridia:Lachnospirales:Lachnospiraceae:NA:NA
SV_1461	Bacteria:Desulfobacterota:Desulfobulbia:Desulfobulbales:Desulfobulbaceae:Desulfobulbus:NA
SV_1462	Bacteria:Fusobacteriota:Fusobacteriia:Fusobacteriales:Leptotrichiaceae:Leptotrichia:NA
SV_1463	Bacteria:Proteobacteria:Gammaproteobacteria:Burkholderiales:Neisseriaceae:Alysiella:NA
SV_1464	Bacteria:Fusobacteriota:Fusobacteriia:Fusobacteriales:Leptotrichiaceae:Leptotrichia:NA
SV_1465	Bacteria:Bacteroidota:Bacteroidia:Bacteroidales:Prevotellaceae:Prevotella_7:NA
SV_1466	Bacteria:Firmicutes:Bacilli:Staphylococcales:Staphylococcaceae:Staphylococcus:NA
SV_1467	Bacteria:Synergistota:Synergistia:Synergistales:Synergistaceae:Pyramidobacter:NA
SV_1468	Bacteria:Firmicutes:Clostridia:Oscillospirales:Oscillospiraceae:Intestinimonas:NA
SV_1469	Bacteria:Firmicutes:Clostridia:Oscillospirales:Oscillospiraceae:Oscillibacter:NA
SV_1470	Bacteria:Bacteroidota:Bacteroidia:Bacteroidales:Rikenellaceae:Alistipes:ihumii
SV_1471	Bacteria:Bacteroidota:Bacteroidia:Bacteroidales:Prevotellaceae:Prevotella:NA
SV_1472	Bacteria:Firmicutes:Negativicutes:Veillonellales-Selenomonadales:Veillonellaceae:Anaeroglobus:NA
SV_1473	Bacteria:Actinobacteriota:Actinobacteria:Actinomycetales:Actinomycetaceae:Actinomyces:NA
SV_1474	Bacteria:Bacteroidota:Bacteroidia:Flavobacteriales:Flavobacteriaceae:Capnocytophaga:NA
SV_1475	Bacteria:Fusobacteriota:Fusobacteriia:Fusobacteriales:Leptotrichiaceae:Leptotrichia:NA
SV_1476	Bacteria:Proteobacteria:Gammaproteobacteria:Burkholderiales:Neisseriaceae:Eikenella:NA
SV_1477	Bacteria:Firmicutes:Clostridia:Oscillospirales:Hungateiclostridiaceae:Fastidiosipila:NA
SV_1478	Bacteria:Proteobacteria:Gammaproteobacteria:Pseudomonadales:Moraxellaceae:Acinetobacter:NA
SV_1479	Bacteria:Bacteroidota:Bacteroidia:Bacteroidales:Rikenellaceae:Alistipes:indistinctus
SV_1480	Bacteria:Firmicutes:Clostridia:Oscillospirales:Ruminococcaceae:Incertae Sedis:NA
SV_1481	Bacteria:Firmicutes:Clostridia:Oscillospirales:Oscillospiraceae:UCG-005:NA
SV_1482	Bacteria:Bacteroidota:Bacteroidia:Bacteroidales:Porphyromonadaceae:Porphyromonas:NA
SV_1483	Bacteria:Proteobacteria:Gammaproteobacteria:Enterobacterales:Enterobacteriaceae:NA:NA
SV_1484	Bacteria:Bacteroidota:Bacteroidia:Bacteroidales:Bacteroidaceae:Bacteroides:NA
SV_1485	Bacteria:Firmicutes:Clostridia:Oscillospirales:Ruminococcaceae:NA:NA
SV_1486	Bacteria:Firmicutes:Clostridia:Monoglobales:Monoglobaceae:Monoglobus:NA
SV_1487	Bacteria:Firmicutes:Clostridia:Oscillospirales:Oscillospiraceae:UCG-005:NA
SV_1488	Bacteria:Firmicutes:Clostridia:Oscillospirales:Ruminococcaceae:NA:NA
SV_1489	Bacteria:Firmicutes:Negativicutes:Veillonellales-Selenomonadales:Selenomonadaceae:Centipeda:NA
SV_1490	Bacteria:Bacteroidota:Bacteroidia:Bacteroidales:Rikenellaceae:Rikenellaceae RC9 gut group:NA
SV_1491	Bacteria:Firmicutes:Bacilli:Lactobacillales:Lactobacillaceae:Limosilactobacillus:NA
SV_1492	Bacteria:Spirochaetota:Spirochaetia:Spirochaetales:Spirochaetaceae:Treponema:NA
SV_1493	Bacteria:Bacteroidota:Bacteroidia:Bacteroidales:Porphyromonadaceae:Porphyromonas:NA
SV_1494	Bacteria:Firmicutes:Clostridia:Lachnospirales:Lachnospiraceae:Catonella:NA
SV_1495	Bacteria:Firmicutes:Clostridia:Oscillospirales:Hungateiclostridiaceae:NA:NA
SV_1496	Bacteria:Firmicutes:Clostridia:Lachnospirales:Lachnospiraceae:NA:NA
SV_1497	Bacteria:Firmicutes:Clostridia:Oscillospirales:UCG-010:NA:NA
SV_1498	Bacteria:Firmicutes:Clostridia:Oscillospirales:UCG-010:NA:NA
SV_1499	Bacteria:Bacteroidota:Bacteroidia:Bacteroidales:Prevotellaceae:Prevotella:NA
SV_1500	Bacteria:Spirochaetota:Spirochaetia:Spirochaetales:Spirochaetaceae:Treponema:NA
SV_1501	Bacteria:Fusobacteriota:Fusobacteriia:Fusobacteriales:Fusobacteriaceae:Fusobacterium:nucleatum
SV_1502	Bacteria:Firmicutes:Clostridia:Oscillospirales:[Eubacterium] coprostanoligenes group:NA:NA
SV_1503	Bacteria:Fusobacteriota:Fusobacteriia:Fusobacteriales:Leptotrichiaceae:Leptotrichia:NA
SV_1504	Bacteria:Proteobacteria:Gammaproteobacteria:Burkholderiales:Neisseriaceae:Simonsiella:muelleri
SV_1505	Bacteria:Actinobacteriota:Actinobacteria:Actinomycetales:Actinomycetaceae:Actinomyces:cardiffensis
SV_1506	Bacteria:Patescibacteria:Saccharimonadia:Saccharimonadales:Saccharimonadaceae:Candidatus Saccharimonas:NA
SV_1507	Bacteria:Firmicutes:Clostridia:Oscillospirales:Oscillospiraceae:NK4A214 group:NA
SV_1508	Bacteria:Verrucomicrobiota:Lentisphaeria:Victivallales:vadinBE97:NA:NA
SV_1509	Bacteria:Synergistota:Synergistia:Synergistales:Synergistaceae:Pyramidobacter:NA
SV_1510	Bacteria:Firmicutes:Clostridia:Oscillospirales:Ruminococcaceae:Paludicola:NA
