	DNA_1	DNA_2	S_101	S_102	S_103	S_104	S_105	S_106	S_107	S_107a	S_108	S_109	S_110	S_111	S_112	S_113	S_114	S_115	S_116	S_117	S_118	S_119	S_120	S_121	S_122	S_123	S_124	S_125	S_126	S_127	S_128	S_129	S_130	S_131	S_132	S_133	S_134	S_135	S_136	S_137	S_138	S_139	S_140	S_141	S_142	S_143	S_144	S_145	S_146	S_147	S_148	S_149	S_150	S_151	S_152	S_153	S_154	S_155	S_156	S_157	S_158	S_159	S_160	S_161	S_162	S_163	S_164	S_165	S_166	S_167	S_168	S_169	S_170	S_171	S_172	S_173	S_174	S_175	S_176	S_177	S_178	S_179	S_180	S_181	S_182	S_183	S_184	H_450	H_451	H_452	H_453	H_454	H_455	H_456	H_457	H_458	H_459	H_459a	H_460	H_461	H_462	H_463	H_464	H_465	H_466	H_467	H_468	H_469	H_470	H_471	H_472	H_473	H_474	H_475	H_476	H_477	H_478	H_479	PCR_1	PCR_2	Spike_1_1	Spike_1_2	Spike_2_1	Spike_2_2
SV_21	100	0	402	220	381	826	593	301	339	73	85	156	840	289	165	856	625	506	157	103	106	434	243	8056	181	104	183	104	729	264	290	396	242	183	763	180	10828	70	443	225	62	477	419	4770	224	134	287	2017	677	274	106	577	428	174	108	639	225	319	260	204	239	120	71	687	304	511	78	666	471	249	3995	273	246	802	525	180	167	784	114	324	647	59	127	45	172	253	345	704	449	146	751	399	997	511	248	94	438	313	754	158	458	48	1233	344	387	189	465	71	143	3067	163	563	103	189	961	364	283	193	160	36	149	26	105	35
SV_22	0	0	0	0	0	0	38	5	129	190	0	0	44	0	84	0	101	217	10	0	0	35	0	0	0	0	100	9	21	112	0	300	0	0	0	0	996	0	0	194	0	0	25	60516	1180	0	157	69	0	11	6	228	56	254	36	0	189	0	0	0	4	202	12	0	968	0	0	0	374	37	0	8	17	0	0	12	0	0	0	236	39	0	0	165	0	0	0	204	0	0	0	0	0	149	273	0	27	61	0	112	0	232	0	10	0	62	26	0	285	0	6	33	293	0	0	881	12	0	0	0	0	0	232	0
SV_23	110	414	6	38	0	0	0	0	0	0	0	59	38	0	0	0	0	0	44	105	45	62	0	106	0	43	0	0	0	0	0	0	147	0	39	43	0	94	30	0	98	60	54	0	0	0	0	46	35	0	31	0	0	0	0	39	0	0	0	0	0	0	54	0	0	0	89	45	126	0	0	0	8	130	0	0	44	48	0	0	0	27	0	0	37	43	4	0	0	43	0	0	0	0	0	0	0	0	0	0	0	109	108	66	0	0	0	74	101	0	106	0	0	77	120	0	0	0	0	257	0	111	0	62
SV_24	55	534	0	163	0	0	0	0	0	0	0	200	0	0	0	0	0	0	43	48	0	77	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	40	0	0	32	93	0	0	0	0	0	139	0	0	0	0	0	0	0	108	176	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	27	0	0	0	0	0	0	0	111	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	77	0	222	0	0	0	57	112	0	103	0	0	62	0	0	0	0	0	533	0	14	0	7
SV_25	64	83	719	579	146	117	184	279	761	123	463	293	1516	221	167	4456	624	77	255	528	195	286	252	290	231	84	494	365	1033	530	465	950	341	337	1084	109	8492	55	144	184	148	284	199	130	170	152	419	405	192	306	189	561	185	233	196	531	956	504	181	410	231	855	259	174	155	225	150	53	669	206	217	116	231	5144	147	171	257	666	560	262	305	70	450	76	336	52	361	1284	1578	0	284	806	120	2898	993	42	1864	379	146	208	207	87	3305	173	214	0	399	88	226	228	75	502	88	199	337	164	233	352	198	18	95	118	153	60
SV_26	99	136	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	55	29	0	0	170	0	19	38	0	0	0	0	0	46	0	12	33	0	36	20	0	45	0	22	0	0	0	0	0	20	0	47	0	0	0	52	0	0	10	0	0	0	0	0	0	0	0	41	9	105	0	0	0	0	54	0	0	43	30	0	0	0	0	0	0	15	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	150	0	0	0	0	0	0	0	0	0	0	75	105	0	0	0	0	0	0	52	0	52
SV_27	0	115	0	0	0	0	417	0	0	0	0	0	195	0	0	0	0	0	130	0	402	0	0	0	0	111	0	0	0	0	0	0	0	0	0	0	0	0	68	0	0	0	107	0	0	0	0	0	132	0	0	0	0	0	0	0	0	0	0	402	0	0	336	0	0	120	0	0	0	0	0	0	0	0	0	0	158	0	0	0	0	0	0	0	0	0	0	0	0	197	0	0	0	0	0	0	0	147	441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	343	0	0	0	164	5900	2499	0	0
SV_28	73	76	125	2243	88	313	33	0	1163	174	882	200	12590	517	0	11139	254	211	109	588	427	106	211	137	0	140	0	420	306	0	90	72	230	30	138	228	101	38	0	44	0	1445	0	56	53	0	166	4693	179	52	0	96	188	78	0	767	2381	0	264	45	90	703	0	131	152	127	0	0	685	36	76	176	64	0	120	67	217	251	0	0	183	130	259	73	0	786	60	508	0	251	108	1195	0	290	1132	0	711	867	0	293	133	0	0	110	0	0	234	27	171	0	213	2183	45	220	56	61	42	0	349	28	47	141	324	59
SV_29	78	0	6821	0	144	69	578	123	454	76	12902	88	73	177	241	3834	0	0	98	44	149	0	527	125	398	37	170	1392	1308	39	172	2331	0	574	6751	39	26	40	0	207	0	40	0	94	589	0	1181	45	0	0	0	101	285	143	0	1247	43	136	175	717	137	170	88	36	153	129	189	43	224	431	86	277	515	919	156	158	155	131	0	0	134	0	145	212	0	42	77	1466	212	167	681	104	66	141	54	32	652	34	49	0	0	76	403	68	67	0	191	64	29	168	77	197	234	2148	173	427	516	50	255	0	0	0	53	27
SV_30	70	259	0	0	0	0	0	0	0	0	0	18	67	0	0	0	0	0	33	144	51	26	0	79	0	21	19	0	0	0	0	0	164	8	33	71	0	55	41	0	95	28	42	0	0	0	0	22	40	0	27	0	0	0	39	23	0	0	0	0	0	0	42	0	0	0	82	28	84	0	0	0	0	210	0	0	62	76	0	0	0	0	0	0	20	44	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	71	73	0	0	0	0	58	44	0	49	0	0	85	59	0	0	0	0	174	0	174	0	60
