	Absiella	Achromobacter	Acidaminococcus	Agathobaculum	Akkermansia	Alcaligenes	Alistipes	Alphaproteobacteria_unclassified	Anaerobutyricum	Anaerococcus	Anaerostipes	Anaerotignum	Bacteroidales_unclassified	Bacteroides	Barnesiella	Bifidobacterium	Bilophila	Blautia	Brevundimonas	Burkholderiales_unclassified	Butyricicoccus	Butyricimonas	Butyrivibrio	Campylobacter	Candidatus_Gastranaerophilales_unclassified	Catenibacterium	Cloacibacillus	Clostridiaceae_unclassified	Clostridiales_Family_XIII_Incertae_Sedis_unclassified	Clostridiales_unclassified	Clostridium	Collinsella	Coprobacillus	Coprobacter	Coprococcus	Corynebacterium	Dakarella	Delftia	Desulfovibrio	Dorea	Duodenibacillus	Eggerthella	Enterobacter	Enterococcus	Erysipelatoclostridium	Escherichia	Eubacterium	Evtepia	Ezakiella	Facklamia	Faecalibacillus	Faecalibacterium	Faecalimonas	Faecalitalea	Fenollaria	Finegoldia	Firmicutes_unclassified	Flavonifractor	Frisingicoccus	Fusicatenibacter	Fusobacterium	Gemmiger	GGB1026	GGB1101	GGB1215	GGB1234	GGB1235	GGB1239	GGB1247	GGB1250	GGB1266	GGB1270	GGB1331	GGB1336	GGB13508	GGB1380	GGB1387	GGB1407	GGB1420	GGB1455	GGB1458	GGB1495	GGB1497	GGB1505	GGB1526	GGB1535	GGB1550	GGB1559	GGB1627	GGB1669	GGB1679	GGB1681	GGB1685	GGB2657	GGB2672	GGB273	GGB2733	GGB2734	GGB28826	GGB2975	GGB2998	GGB3002	GGB3005	GGB3109	GGB3111	GGB3161	GGB3167	GGB3170	GGB3175	GGB31765	GGB3189	GGB3204	GGB3215	GGB32350	GGB3236	GGB32430	GGB32478	GGB3256	GGB3267	GGB3277	GGB3278	GGB32804	GGB32862	GGB32884	GGB32905	GGB3293	GGB3303	GGB3304	GGB33097	GGB33328	GGB3341	GGB3344	GGB3345	GGB33462	GGB33468	GGB33469	GGB33490	GGB33586	GGB33594	GGB3363	GGB33927	GGB33960	GGB34295	GGB3433	GGB34350	GGB3469	GGB3475	GGB3480	GGB3486	GGB34873	GGB3496	GGB35083	GGB3523	GGB35325	GGB3548	GGB3550	GGB3582	GGB3586	GGB3607	GGB3609	GGB3612	GGB3614	GGB3619	GGB3623	GGB3633	GGB3637	GGB3653	GGB3654	GGB36854	GGB37166	GGB3731	GGB3733	GGB3744	GGB3746	GGB37896	GGB38021	GGB38043	GGB3819	GGB39291	GGB39755	GGB4239	GGB4256	GGB4266	GGB4361	GGB4491	GGB4542	GGB4549	GGB4552	GGB4566	GGB4567	GGB4569	GGB4570	GGB4571	GGB4578	GGB4579	GGB4585	GGB4599	GGB4604	GGB4611	GGB4642	GGB4655	GGB4659	GGB4664	GGB4676	GGB4684	GGB4687	GGB4689	GGB4694	GGB4700	GGB4703	GGB4704	GGB4706	GGB4710	GGB4713	GGB4715	GGB4716	GGB4733	GGB4745	GGB4749	GGB4750	GGB4754	GGB4768	GGB4769	GGB4770	GGB6006	GGB6007	GGB6010	GGB6012	GGB6020	GGB6123	GGB6124	GGB6132	GGB6518	GGB6520	GGB6544	GGB6577	GGB6606	GGB6608	GGB6612	GGB6613	GGB781	GGB9045	GGB9056	GGB9057	GGB9059	GGB9061	GGB9063	GGB9064	GGB9081	GGB9091	GGB9092	GGB9109	GGB9110	GGB9172	GGB9175	GGB9176	GGB9210	GGB9211	GGB9249	GGB9256	GGB9261	GGB9266	GGB9271	GGB9277	GGB9293	GGB9342	GGB9343	GGB9345	GGB9347	GGB9350	GGB9352	GGB9365	GGB9366	GGB9379	GGB9423	GGB9453	GGB9468	GGB9479	GGB9509	GGB9512	GGB9524	GGB9542	GGB9547	GGB9602	GGB9614	GGB9615	GGB9623	GGB9627	GGB9631	GGB9632	GGB9633	GGB9634	GGB9635	GGB9636	GGB9672	GGB9677	GGB9691	GGB9699	GGB9705	GGB9707	GGB9710	GGB9712	GGB9715	GGB9730	GGB9739	GGB9747	GGB9758	GGB9759	GGB9760	GGB9762	GGB9770	GGB9785	Holdemanella	Hungatella	Intestinibacter	Klebsiella	Lachnospira	Lachnospiraceae_unclassified	Lactobacillus	Lawsonella	Levyella	Longicatena	Mediterraneibacter	Megasphaera	Mesosutterella	Methanobrevibacter	Methanomassiliicoccus	Microbacterium	Mitsuokella	Mobiluncus	Morganella	Ndongobacter	Neglecta	Nissabacter	Odoribacter	Oscillibacter	Parabacteroides	Paraprevotella	Parasutterella	Parvimonas	Peptoniphilus	Phascolarctobacterium	Pluralibacter	Porphyromonas	Prevotella	Prochlorococcus	Proteus	Pseudomonas	Raoultella	Romboutsia	Roseburia	Ruminococcaceae_unclassified	Ruminococcus	Ruthenibacterium	Stappia	Stenotrophomonas	Streptococcus	Streptomyces	Subdoligranulum	Sutterella	Tissierellia_unclassified	Tyzzerella	
160	804	102	162	28978	11414	0	2267890	18190	67448	140	103056	15322	0	7329858	271990	79212	41748	371078	4	2	782	52634	400	142	45910	1028	92	24648	4568	193064	404252	109970	148	5300	296268	17518	12	46	156	84802	304358	1280	12	160	518	3046	403722	7612	64	238	4624	1634160	3190	1962	174	2426	98700	9516	2830	420582	52	80960	4	274	636	664	352	494	46	612	652	468	64	130	2146	444438	7668	936150	69884	10	0	15114	2842	124	0	0	118	566	76	28	586	33716	4798	900	0	1698	0	580	254	7218	4996	1622	386	3984	2	132	262	198	1120	2	116	4108	124	4664	20	16710	9862	2530	344	6068	3348	89736	2120	3712	190	4320	200	196158	80	5146	830	2050	2588	7492	44	3134	8570	1024	1794	1748	3874	966	16	992	19686	5948	27528	80950	68222	14	2732	31104	2492	416	1286	4860	250	6448	105764	4568	18012	496	4136	19538	30840	1976	29292	8608	16	1450	242582	217316	3020	99700	5022	4	112	1204	43378	22838	96	2	52	2	912	1630	368	79232	72	320	164	234	166	638	8	696	142556	310	1232	8	166	1200	1076	0	1024	156	2	10	270	0	8	506	50	142	10	304	0	20	536	1506	2	29722	36	4	817640	482	1166	32	158	0	0	2	36	8	4	620	162	22	326818	3422	2	4	28	1132	146	22	1366	44	4	102	2	98	40	10	118	20	254	1432	52	328	6	128	790	262	8	2386	8	2870	134	202	666	154	50	190	60	1000	23482	986	26	6992	1004	50	2472	101580	2596	83532	1486	176	2264	18098	54002	15736	381736	800	152	3536	606	6338	3758	334	9498	7702	62474	20412	976	2048	6114	31636	5488	52	30	76	41048	1220	720	210	2202	1100140	1336	8	22	306	20236	0	38	856	1104	1956	124	22	3944	2	1252	0	262588	162792	318428	325216	8014	6	292	46656	402	720	12132	10054	6	5484	178	248	1261742	156728	1197444	6810	34	52	3290	10736	191492	348	58	1720	SF
464	44	28	2	14132	65062	8	221250	1812	68966	740	33736	1626	34	586782	2274	86340	9844	134906	0	224	484	640	1366816	606	614	38430	98	11758	3766	73636	932666	61856	826	1352	269402	11230	0	10	20	79998	1452	394	984	1308	6	6543694	125252	272	28	30	24578	1196762	1066	3152	10786	4340	72284	4598	996	171312	456	69034	18	332108	104	253608	1122386	223584	243904	607306	9538	2139926	0	22	2014	22774	402	3128	36	430	106704	17158	1838	204	396	2454	254	474	933278	0	78	1462	772	3294	0	12	10	306	432	1978	6126	2220	1288	4590	24	188766	1286	234	245922	832	86494	5236	2026	12996	388	7998	13706	9854	1214	3798	2840	266312	20520	209770	52802	219260	146096	21194	8632	6276	3898	3184	3720	1904	2	1362	8648	8070	2326	1070	108	18666	9690	236	8702	652	56686	10914	2102	2078	1070	22250	3912	11572	472	348	208	1244	13904	11112	16572	2506	9742	18542	149786	90602	21314	5492	48	822	5906	1166	150312	14310	99326	174210	310	20	3774	30526	112	14	36	0	3008	20880	3544	86580	7428	8174	62612	3162	9266	3034	104568	10852	5142	6220	95664	9068	10808	632	3554	65284	36224	2040	546	960	365694	96562	45276	2828	1872	2140	88944	514	58	292	1030	13194	20	51740	230	36	1100	136	748	266	1286	24	0	26	142	8	0	32	32	2	836	2	2	1438	408	3584	630412	207222	25704	4860	3784	538	92	568	92848	324	352	2356	3116	1540	800	1518	1360	469176	2502	324404	1444	58748	3264	74120	3892	654	10	1844	122	274	28	3886	41988	668	6270	686	2410	1184	132	19860	15242	69354	10472	10682	2126	29314	36038	22940	154224	27616	1624	64002	13974	15032	3530	4230	34890	5476	75736	19696	766	194470	376442	7340	153550	27792	3558	1474	638	1388	460	354	239968	313282	8	176	1326	584	2906	4	0	13224	3836	3576	34	828	2464	2	1384	106	5178	96760	527018	5256	34736	10	3962	238	50	12992	694320	11780	60	16	104	846	882082	414016	237442	7060	38	2958	584	21522	545150	190	672	4178	HC
152	462	86	282	47838	144626	0	986818	448	36976	2470	418438	342	22	3219984	7094	698	68768	1838598	2	554	1378	744	880	10614	760	1566	7536	1078	10880	493562	400550	674328	204	2722	49588	4710	20	10	76678	28940	132	7702	74	352	460	172510	1785738	2772	3260	5796	33400	1895198	4032	238	79138	57874	230414	34344	3466	747898	148	749478	20	42	8420	48	590	2	0	42	338	10	270	140	482	460	90	126	62	238	16	47294	782	442	2	6	134	196	16	142	1658	9106	1186	5908	0	112	0	3750	48	46802	940	5500	11430	15078	0	436	432	1742	1704	116	226	6492	260	856	164	22294	3386	5338	280	4950	5708	10794	1434	25768	140	1111234	64	7890	178	9310	9500	90130	4342	1980	98	598	15406	1530	2116	1198	164	14238	360	136534	7856	116258	288	274	1044	0	257362	32488	125012	1174	2316	14678	2392	7964	16878	14048	17506	540	2626	62704	3490	4150	119938	1804	6	962	856	114	1520	10630	16064	62	0	60	115410	14684	226	32	140	652	226	686	2554	2686	105028	2124	110	276	3236	1160	2072	2136	3434	4022	770	394	936	498	3616	2	1968	76	62	22	166	168	16	414	78	130	10	258	0	878	912	3236	636	4	34	0	1330	286	1382	0	0	2	14	6	28	386	108	192	400	78	1410	132554	0	182	300	1858	286	68	92	38	224	18	14	30	10	6	394	506	1802	3770	98	388	174	218	2758	434	92	153406	168	1424	242	768	32	63810	1826	94	150	2386	308360	3718	42	179268	136004	68	684	8228	1440	17208	5018	3316	336	376480	37340	7420	47570	172	668	884	488	9544	4112	14486	20166	700	219742	2154	310	6672	11728	260	2668	80	68	106	624	7292	11800	7914	190110	363352	72	338	21070	20868	414340	100	2	318	246	1486	48	4084	9700	56	143988	2	48930	193380	387090	2182	137226	20	38980	119252	58	22218	16662	8906	152	4122	74	2998	4107800	1512916	539372	37272	4	108	5758	2458	1266210	416	22432	4362	SF
105	1562	438	674	42688	53062	68	1649856	854	209258	15290	478100	90	66	10378132	43812	1323806	282240	770480	66	2	986	706	236	11224	14	638	20	37572	4656	296022	610824	371120	542	3296	74256	2422	94	670	386	198520	20	55946	454	16364	1118	8162	183718	130	120	828	15232	1449944	5618	1756	14964	181680	85078	127948	1692	298616	50	134114	140	58	426	104	358	28	44	108	374	624	1188	2	304	2566	1248	2522	136	244	0	4760	3126	72	0	0	2	14	128	24	374	16792	1108	448	66	4	0	558	4	8686	336	1410	722	6322	0	74	32	1312	830	250	94	2382	122	1432	32	9924	858	1382	50	616	1996	68754	1310	8222	48	3032	24	4576	64	54896	546	3962	1180	944	0	126	436	1022	76	134450	3944	359714	2008	702	7244	152	420	312	1172	74	1452	36696	3338	556	474	932	6290	5720	12456	1336	11140	694	3022	32138	4012	2042	6044	4864	640	1114	1044	264	1248	7952	10668	2	0	12076	26946	303358	310	2	294	3166	30	84	4	392	44	236	14	2	20	8	0	66	26	0	192	148	14	1436	1948	0	1944	4	0	934	226	20	0	256	8	0	2	892	16	338	646	816	0	12	24	8	974	492	1516	2	2	176	40	2	34	0	0	178	40	248	1702	158	2	0	6	1004	142	24	96	8	14	6	0	16	2	2	46	114	708	17244	90	150	32	44	962	862	30	1970	14	1282	222	1116	46	24	84	180	714	9412	5344	172486	26	29954	694	16	30	2566	346	8162	2938	10372	478	59784	11312	2312	16250	286	120	300	320	21268	128	88	3582	694	80196	820	2664	3018	6910	56	564	14	94	156	376	1832	55252	2684	439234	1611486	4450	2838	9236	2464	74294	0	10	126	1890	566	46	132	8	102	1068	0	12888	188042	61096	7602	108366	100	57010	634	190	47886	35336	2772	2	1052	34	748	1325238	134980	790062	8294	782	1630	7640	1376	277056	810	4726	2670	SF
143	140	188	1132	34178	1454	0	1156282	296	237828	1110	124448	108	2	16246332	24896	687370	79026	618434	0	68	24186	1646	360	74	4	918	2876	27098	2826	120120	703598	585302	214	11786	807314	378	73770	6	99542	184696	60	1418	154	340	26	5802	246620	928	12	26	8346	1307924	2568	1470	220	3804	181072	14810	2474	429454	60	372920	92	5102	12	11466	21598	54	96	1726	6376	196	102	246	5512	15048	6604	508	80	6	60	9526	4654	24	0	2	4	632	6	0	404	13710	11638	1490	0	2	0	650	0	9510	6038	6196	3180	7986	0	104	44	868	1886	0	612	10232	448	18364	46	17068	100730	4290	346	3342	2778	47214	81750	17826	78	410332	376	392884	64	27512	254988	2612	15484	488	2	664	18826	708	5386	19246	1590	6086	70	4418	37806	214	332	1464	2012	4	2624	73504	6056	226	848	500	474	3830	36076	2160	11524	726	3258	17624	2686	2596	50728	1474	2396	596	694	134388	40418	36138	7600606	0	0	54	62122	176580	540	42	686	2261440	54	32276	30	354	84	866	26	0	264	116	2	126	22	12	8	306	208	3338	2984	40	377258	2002	32	1060	362	10	2	312	210	48	332	812	0	110	12546	1320	18	20	34	8	1558	334	804	2	0	186	0	0	48	412	0	508	66	6	1382	230	2	4	348	1306	240	104	19294	468	386	6	0	32	78	20	58	238	984	948	186	358	94	360	1596	962	132	424454	44	2126	468	462	28808	2550	88	408	444	250	190136	594	40	31020	1758	768	222	23284	8934	78470	2632	33586	760	56238	201132	187554	34720	886	10132	490	466	137462	16634	4820	31708	38182	31732	10450	1846	122736	48056	11150	108528	106	8204	1290	728	978	18682	5944	173146	1033734	338	24	48	716	69438	48	7952	30682	116	1616	84	226	20	0	1100	4	413672	265756	1156196	14006	50204	56	350	6442	38	790	202524	22870	304	5816	164	12356	1958804	1101546	1574118	19736	3768	70	17718	95866	267716	202504	82	1358	SF
475	700	146	8	27436	17070	0	2701710	620	50676	78	66182	2104	18	4663242	216324	88140	103950	419034	6	928	56700	58034	1648	0	380436	5972	308	58820	5094	113460	1771410	68546	134	57920	144796	1184	0	182	46	91986	226	934	488	132	36	15598	589780	482	0	24	9254	2441006	3226	7302	126	1504	472868	10048	4242	220382	108	312366	12	3782	38	1242	922	696	924	988	2563086	1432	14	216	1612	1102	4044	844	128	34	112	5046	12308	11236	459312	2720482	227046	4182	616	24	840	17442	5800	2334	0	4	0	864	1246	4712	1344	4050	3430	31284	58	488	496	140	980800	0	90	6128	482	478	110	271508	10866	4348	1634	107572	4846	366430	5912	2440	104	20554	450	220882	28	5842	1706	6102	50362	30122	900	380	11782	5198	2378	1668	2564	18792	4470	598	23940	604	686	10464	171948	20	5898	264796	3826	858	986	704	216	33736	50556	4242	381582	2210	25290	35392	4820	3464	63238	4878	4708	2684	1556	694	391242	83722	1426	174	4	20	105420	64278	94	2	216	4	215174	394	526	322	100	220	54	363182	246	308	154	310	55546	250	628	696	216	68	1496	60	1836	48	0	8	1798	152	64	374	204152	172	172	1030	0	22	1654	1444	8	42	10	0	2998	290	1160	2	0	0	0	6	12	0	0	208	2	336	2874	4	162	38	316	4474	696	510	412	36772	400	1394	14	12456	1336	90	240	368	506	1228	84	582	84	536	2226	1818	3114	4770	44	2414	292	316	10	224	288	92	78	6244	29676	390	1198	14636	1338	182	14294	131886	14850	169092	17332	4182	904	14582	20796	17440	554630	322	836	1660	476	16050	3606	11776	13930	1280	220030	38316	1398	2848	1086988	14484	103678	164	1950	714	536	2866	18500	18144	562660	1292610	102	2	4	898	34056	8	10	5250	832	3764	78	6366	110	0	1468	134340	160670	218414	1350828	10938	151054	2	106	2	74	830	26136	304730	0	2256	220	2646	3869246	221340	573248	8052	6416	518	47752	2692	213828	346	338	3322	HC
155	82	28	410	10140	21894	0	1599612	158	12532	326	15010	84	4	2442518	5920	1618	50770	149320	0	64	214	1022	362	28	0	484	152	1864	2592	97676	157144	2844	244	5772	146110	3836	28	4	820	65638	30	2296	8414	3216	296	199462	949112	1230	2	40	13718	723556	49438	672	272	1122	228462	4858	2782	57596	328	28392	0	86	30	44	252	4	4	106	230	78	72	96	5372	364	774	450	40	44	34	17244	616	6	0	4	0	158	10	32	546	19010	1074	1016	0	4	0	226	2380	1302	6672	1738	2292	2730	2	122	142	52936	7270	0	90	4114	49584	43660	188	11016	5844	68700	1028	4028	6700	83568	1046	36508	508	287482	92	13252	48	135694	546	632	902	690	0	2840	42516	7716	106	1904	256	3344	7156	314	25814	234	18120	12994	398	6	1346	3456	4234	230	410	612	156	410	106348	3194	23822	1466	246816	20132	830	1468	9352	920	800	416	19478	146	19800	5880	80360	272	0	122	4698	6446	220	70	22	814	284	614	58	138	970	100	58	90	156	126	16	178	50	3236	116	66	188	406	1120	1224	904	20	24	46	248	0	20	436	38	28	66	728	2	127010	432	328	4	4	14	0	350	322	362	0	0	0	0	0	6	310	0	72	8	0	518	66	0	20	879334	1952	250	42	1408	624	66	242	1984	3406	372	10	126	255138	1546	100904	282	530	338	542	2264	1020	190	370758	44	149396	1924	76424	38	54	102	40	78	188	24416	3036	28	2586	119688	702	100084	206230	1530	21210	1794	2342	139652	43488	156814	58938	288068	582	1470	74256	50830	62080	9442	1752	1573038	333388	35738	1286	204	159862	992824	10740	85874	44268	19428	1694	420	7252	2598	5654834	2168	413170	22	34	100	33490	4910	30	12	6370	14128	1096	80	34	640	116	5428	0	679166	71206	666288	5910	24308	8	600	161620	6524	1596	6602	9728	226	13255906	19970	104	772730	480654	336950	16424	1086	10108	2950	69344	10430	160	74	2898	SF
469	102	198	1860	29040	168114	8	808420	212	26798	400	17872	98	0	2219886	49862	12788	9802	100436	0	16	3962	38382	806	206	242	13002	422	15580	1982	45676	691264	70292	1810	17100	139156	3172	88	176	884	54936	634	188	40	44	6	11920	74032	428	40	132	3274	528024	1262	440	572	1840	228384	3696	860	57014	86	76776	10	2804	408	9054	9056	770	178	3316	1382	1326	10	226	3328	4372	1234	536	63376	50	68	21332	1320	82	0	0	12	212	780	10	10398	14750	1102	458	0	24	66	888	66	2244	3280	1122	470	4032	116	198	112	922	267110	0	290	195108	436	16470	106	7496	8486	64616	330	1330	27902	69064	486634	33922	50	2948	218	10818	80	2694	102622	1994	1934	730	0	2958	1692	1998	2758	968	934	4608	52	242	28304	128	4444	7396	2096	36	1488	33742	1568	58862	170	248	138	1152	6988	914	6790	29752	17234	13946	6180	8052	24430	3662	14364	14380	1132	316	16506	25516	71898	182	68	32	28998	146384	22	86	62064	3192	2584	24014	994	226498	890	22952	10292	884	322	690	214	27984	1392	1342	2164	418	740	5900	3812	112	9440	940	126	745662	47438	8662	120	674	494	634	466	77846	26	132	2180	624154	18	112	15226	9942	1230	78	614	824	84	167992	54	2124	37904	1298	22	198872	50496	28	2232	248	14	230	184	574	516	19240	624	2592	9488	104	26	2914	640	244	144	2574	312	1024	61242	902	40282	3698	261538	1222	2970	8770	404	44332	24240	3934	124	128	10	406	58	130	38156	424	6556	7226	8268	6694	662	244706	5898	60634	2730	1596	37782	24876	51236	20316	116228	93066	352	45122	15374	14910	8508	5732	17652	17276	26928	6198	430	122890	245922	6438	30666	12228	530	340	382	550	26872	50	74688	242804	94	36	348	174	7544	0	24	5008	314	16084	64	32	6	2	1120	0	297406	121078	486854	320240	3340	28	602	598	10	2158	13704160	7056	8	108	18	18902	583098	497202	395262	2478	19606	190	7530	6624	45318	88280	364	916	HC
117	160	72	2238	4326	23208	4	6205290	430	81222	4518	122374	7106	152	9995592	619020	27220	29400	389390	6	3670	5746	450658	106	6486	384084	676	44	25274	6916	187462	240374	161272	214	68234	105518	251318	54	72	110	154436	212	2226	100	142	488	19844	138124	996	58	96	1444	1979434	2534	1062	19660	8164	311056	7272	2660	445942	64	151722	254	492	90114	1106	794	20	18	166	1486	22	28178	299306	3692	3608	2122	2326	328	1184	38	33014	3196	190	28	16	16252	32	6	74	684	82882	10792	2212	6	126	0	534	16	12000	1806	5180	810	4128	0	210	94794	718	48090	24	62	3728	524	4262	88	997034	34760	7542	1372	128316	4758	88050	1730	12836	80	3512	58	11984	26	868	978	4348	3052	2734	0	136	11948	856	2868	9110	5720	9988	276	2538	56922	226	804	1208	15936	46	3334	61394	4102	766	1162	468	490	5314	133580	6656	19930	918	3042	24620	7578	2176	9908	4826	876	1966	610	44	77996	17322	430	18	84	3148	24680	127988	1380	62	174	0	94	118	336	638	170	550	40	106	432	240	50	1380	550	1080	1814	202	178	472	876	0	1620	82	0	6	52	2	16	94	18	360	72	906	2	1416	1474	9820	4	86	4	0	1526	637022	642	10	2	0	138	12	18	0	68	66	228	14	1010	206	0	4	82	1636	278	588	14110	33258	318	326	69732	92	752	10	2618	149576	17016	2398	36	712	812	616	1994	1064	84	4592	16	2346	266	944	32	106	40	102	48	1644	85428	494	74	11946	614	122	588	236830	8062	55266	2480	7072	550	29262	546538	10620	32108	1188	686	722	1044	12274	1238	8640	21040	564	40004	9764	600	2464	10190	1030	28108	136	3896	220	488	2446	2334	8386	276216	1377820	256	586	26398	1318	30876	164	2	12586	986	1038	16	7580	12	24	1536	6	551746	169850	963706	16106	112686	22	12498	64660	212	31624	29196	88720	2	58	70	7612	1640900	5513626	306578	8922	1112	46	10868	2410	682628	538	59752	2746	SF
110	718	222	0	91488	2887264	82	6920662	1476	683680	10584	932804	11972	62928	5762148	402912	2818	776	4487324	86	2	1536	1098	1350	254604	204	482	1788	58180	422958	318498	417976	673184	31154	70466	2255254	3076	0	1520	231212	582884	522	42066	255874	1128	5208	19762	1691910	48964	70664	9326	38218	915246	12082	1358	527348	60652	289512	194878	10354	1902746	48	501030	297742	1098	809764	2068	15380	208	246	1822	14700	1218	150	4	33104	684	2526	7160	292	350220	226	15782	2926	4912	6	0	4	2528	554	0	571938	7048	5848	6764	213472	2	0	6580	40	54102	11620	6140	4688	100792	80	266	52	1174	5334	97886	22	8456	1234	121908	624	47132	2778	4694	5534	4844	180914	10996	7632	48636	392	21480	178	17252	432	434154	1340	2088	58288	1498	14	306422	308866	3594	4250	2626	992	414	9172	924	112816	24232	628	9500	2288	135750	7208	27408	12396	1556	16084	1498	1386	33364	62570	35608	54370	1544	2298	127258	5256	9008	485796	78294	54	5104	892	202	4590	87920	512	6	72	230	19122	166848	4316	8	586	10	42412	324	204	266	94	246	20	0	62	72	18	758	154	1178	156	1738	238	1444	1516	58	196932	28	16	56	608	10	0	1226	104	34	776	7236	31102	364	2488	1022	10	4	542	136	1976	268	7452	2	6	2	334	70	402	8	6	6	60	890	2800	444	2	4	128	4220	828	8	6	228	316	146	2	62	14	172	290	436	2118	101268	200	588	290	1168	5300	692	2582	7502	62	7254	1038	998	44	74	238756	610	520	3176	135966	2504	84	5146	164492	486	342	20702	1732	38416	6662	173862	4176	205412	2241026	14124	117210	536	1776	4894	852	1459012	2808	832	34770	2734	2638236	126906	220	14160	39968	226	3692	64	19528	1018	928	10788	17274	16674	26298	9208256	88052	64730	208966	3132	76972	60	0	1968	342	4380	332	292506	96	246	6442	0	112374	605342	1191408	51258	1244	96074	687618	866	310	1110518	1132322	93908	942	9998	682	3312	1994142	258316	1862370	463516	62	1906	93800	35100	161340	778	61380	6942	SF
133	1326	102	234	21718	88810	50	653166	114	64374	8566	101748	27566	6	11555318	31628	4138	87838	299922	2	1526	690	118666	172	868	398	248	2	32488	2672	97194	184916	75060	8438	6232	87958	56306	0	36	64	108078	18	52232	4918	198	300	1687716	129098	5264	26	130	2352	932028	2824	1672	1284	43348	62260	140236	1806	163264	70	206376	12	696	324	1154	750	0	2	42	1188	292	56	228	416	8372	1362	542	104	72	6	137004	3198	52	2	2	22	52	10	6	296	10930	4480	760	0	508	0	152	14	424	930	1282	1128	366566	0	372	36	526	604	10	20	5498	152	11994	100	8328	18054	1078	1958	468	2248	102104	1670	6432504	44	22902	14	7342	14	876	12	1612	1274	270	0	114	21172	9994	2466	1554	912	13926	9178	8142	17440	158	1182	404	904	0	2300	237782	3888	406	584	830	326	760	13048	1422	8408	276	1806	14552	1874	4332	3668	1008	150	774	756	22	16840	5098	1020	0	0	52	664038	136932	324	10	118	4	14	840	10	88	14	332	10	2	56	4	0	2	4	12	2	286	154	54	164	6	1228	6	2	10	18	0	0	136	0	0	0	554	0	224	86	198	6	76	8	0	5662	290	960	0	8	2	4	2	20	2	40	210	200	2	602	120	0	0	1152	774	58	20	36	88	6	2	12	22	2	2	686	406	322	1498	0	126	10	36	2624	338	6	1774	8	756	50	228	20	32	62	886	636	188	26348	100454	22	60568	940	26	194	3994	2896	73194	7612	206	334	81466	14700	10366	43780	224	204	482	240	11342	272	38	12332	588	6462	2050	436	2776	5986	128	552	60	42	54	372	23484	3188	6774	95842	2011234	50	954	1144	620	70226	122	0	52	198	504	6	28	46	790	1150	16	224290	436382	764238	13006	172148	22	11540	48386	128	8882	18090	120886	2	13604	170	4668	1068504	23970	247890	38650	206	3308	7446	31700	62544	1172	626	2516	SF
176	60	84	1540	1596	3436330	38	1505120	108	42970	248	62862	498	100	12246186	74402	10650	46466	124710	0	1108	74	846	562	2056	522	184	38	3240	7058	43066	68086	118570	5782	2698	21850	492	36	0	214	10184	90	15890	1708	174	1352	860076	178082	21072	26	82	1028	854174	15522	1506	22746	1806	67818	226514	1243052	161524	22	10422	114	462	2348	270	606	14	10	480	932	54	38	260	576	2348	1234	3410	300	7512	0	236380	3362	16	0	0	418	14	54	38	2172	35450	10748	990	0	82	4	244	18	5462	4042	2130	5418	22408	0	3388	250	326	858	6	24	1406	120	15238	72	18674	4606	41096	952	1510	8704	476686	4644	3250406	64	3444	44	7296	42	710	34	1490	970	164	0	370	8068	1092	131212	840	2272	18160	4060	19414	3412	1356	830	316	488	8	1734	136284	2204	2598	4740	444	948	1914	4596	9132	3366	550	528	22492	952	928	29180	2124	112	848	298	46	90846	3980	696	30	0	3424	116668	157826	722	32	30	4	4	412	10	2	24	1364	4	112	258	0	0	80	2	50	764	26	10	142	4586	0	810	1706	0	6	12	0	0	214	2	2	0	400	0	1474	466	268	348	0	12	0	364	790	392	0	0	0	90	0	2	4	10	36	0	2	318	2934	2	0	20	1138	92	4	712	262	16	82	50	18	14	2	526	678	644	212	64	308	84	192	1556	668	18	4012	20	1642	216	864	3500	62	138	488	142	316	15630	362	42	144438	3202	24	122	6530	1084	18080	2888	442	1858	525190	29132	4194	31192	148	128	680	598	274204	9476	762	18330	820	5442	124	752	2434	5650	1240	99486	56	200	444	146	518612	8614	7104	1518	107168	630	1796	3184	142270	652288	38	4	84	68	330	34	1536	8	12	3852	0	184832	215678	1196098	24958	140376	194	7362	94152	172	3002	67470	2518	418	24	200	76	99280	407284	335664	158888	166	1798	15208	29200	39514	718	672	1920	SF
