	Kingdom	Phylum	Class	Order	Family	Genus	Species
SV_274	Bacteria:Proteobacteria:Gammaproteobacteria:Betaproteobacteriales:Neisseriaceae:Neisseria						
SV_275	Bacteria:Firmicutes:Clostridia:Clostridiales:Family_XI:Peptoniphilus						
SV_276	Bacteria:Actinobacteria:Coriobacteriia:Coriobacteriales:Atopobiaceae:Atopobium						
SV_277	Bacteria:Firmicutes:Clostridia:Clostridiales:Ruminococcaceae:Ruminococcaceae_UCG-014						
SV_278	Bacteria:Firmicutes:Bacilli:Bacillales:Staphylococcaceae:Staphylococcus						
SV_279	Bacteria:Firmicutes:Clostridia:Clostridiales:Lachnospiraceae:Blautia						
SV_280	Bacteria:Firmicutes:Clostridia:Clostridiales:Family_XI:Anaerococcus						
SV_281	Bacteria:Firmicutes:Clostridia:Clostridiales:Family_XI:Anaerococcus						
SV_282	Bacteria:Verrucomicrobia:Verrucomicrobiae:Verrucomicrobiales:Akkermansiaceae:Akkermansia						
SV_283	Bacteria:Firmicutes:Clostridia:Clostridiales:Family_XI:Anaerococcus						
SV_284	Bacteria:Firmicutes:Clostridia:Clostridiales:Ruminococcaceae:NA						
SV_285	Eukaryota:NA:NA:NA:NA:NA						
SV_286	Bacteria:Firmicutes:Bacilli:Bacillales:Staphylococcaceae:Staphylococcus						
SV_287	Bacteria:Firmicutes:Bacilli:Lactobacillales:Aerococcaceae:Aerococcus						
SV_288	Bacteria:Firmicutes:Bacilli:Bacillales:Staphylococcaceae:Staphylococcus						
SV_289	Bacteria:Actinobacteria:Actinobacteria:Corynebacteriales:Corynebacteriaceae:Corynebacterium_1						
SV_290	Bacteria:Firmicutes:Bacilli:Lactobacillales:Aerococcaceae:Globicatella						
SV_291	Bacteria:Fusobacteria:Fusobacteriia:Fusobacteriales:Fusobacteriaceae:Fusobacterium						
SV_292	Bacteria:Firmicutes:Clostridia:Clostridiales:Family_XI:Murdochiella						
SV_293	Bacteria:Firmicutes:Negativicutes:Selenomonadales:Veillonellaceae:Dialister						
SV_294	Bacteria:Firmicutes:Clostridia:Clostridiales:Peptostreptococcaceae:NA						
SV_295	Bacteria:Firmicutes:Bacilli:Lactobacillales:Aerococcaceae:Eremococcus						
SV_296	Bacteria:Firmicutes:Clostridia:Clostridiales:Family_XI:Anaerococcus						
SV_297	Bacteria:Firmicutes:Bacilli:Lactobacillales:Streptococcaceae:Streptococcus						
SV_298	Bacteria:Actinobacteria:Actinobacteria:Corynebacteriales:Corynebacteriaceae:Corynebacterium						
SV_299	Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Bacteroidaceae:Bacteroides						
SV_300	Bacteria:Firmicutes:Clostridia:Clostridiales:Lachnospiraceae:Coprococcus_2						
SV_301	Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Bacteroidaceae:Bacteroides						
SV_302	Bacteria:Firmicutes:Clostridia:Clostridiales:Lachnospiraceae:Fusicatenibacter						
SV_303	Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Prevotellaceae:Prevotella						
SV_304	Bacteria:Firmicutes:Bacilli:Bacillales:Staphylococcaceae:Staphylococcus						
SV_305	Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Prevotellaceae:Prevotella						
SV_306	Bacteria:Firmicutes:Clostridia:Clostridiales:Ruminococcaceae:Ruminococcaceae_UCG-002						
SV_307	Bacteria:Firmicutes:Bacilli:Lactobacillales:Lactobacillaceae:Lactobacillus						
SV_308	Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Bacteroidaceae:Bacteroides						
SV_309	Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Bacteroidaceae:Bacteroides						
SV_310	Bacteria:Firmicutes:Clostridia:Clostridiales:Ruminococcaceae:Ruminococcaceae_UCG-014						
SV_311	Bacteria:Fusobacteria:Fusobacteriia:Fusobacteriales:Fusobacteriaceae:Fusobacterium						
SV_312	Bacteria:Firmicutes:Clostridia:Clostridiales:Christensenellaceae:Christensenellaceae_R-7_group						
SV_313	Bacteria:Proteobacteria:Gammaproteobacteria:Pasteurellales:Pasteurellaceae:Mannheimia						
SV_314	Bacteria:Fusobacteria:Fusobacteriia:Fusobacteriales:Fusobacteriaceae:Fusobacterium						
SV_315	Bacteria:Firmicutes:Bacilli:Lactobacillales:Streptococcaceae:Streptococcus						
SV_316	Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Prevotellaceae:Prevotella						
SV_317	Bacteria:Firmicutes:Negativicutes:Selenomonadales:Veillonellaceae:Negativicoccus						
SV_318	Bacteria:Firmicutes:Bacilli:Lactobacillales:Lactobacillaceae:Lactobacillus						
SV_319	Bacteria:Firmicutes:Bacilli:Lactobacillales:Streptococcaceae:Streptococcus						
SV_320	Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Prevotellaceae:Prevotella_7						
SV_321	Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Bacteroidaceae:Bacteroides						
SV_322	Bacteria:Firmicutes:Bacilli:Lactobacillales:Aerococcaceae:Facklamia						
SV_323	Eukaryota:NA:NA:NA:NA:NA						
SV_324	Bacteria:Bacteroidetes:Bacteroidia:Sphingobacteriales:Sphingobacteriaceae:Sphingobacterium						
SV_325	Bacteria:Firmicutes:Negativicutes:Selenomonadales:Veillonellaceae:Megasphaera						
SV_326	Bacteria:Firmicutes:Clostridia:Clostridiales:Family_XI:Peptoniphilus						
SV_327	Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Prevotellaceae:Prevotella_6						
SV_328	Bacteria:Actinobacteria:Coriobacteriia:Coriobacteriales:Atopobiaceae:Atopobium						
SV_329	Bacteria:Firmicutes:Clostridia:Clostridiales:Family_XI:Peptoniphilus						
SV_330	Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Tannerellaceae:Parabacteroides						
SV_331	Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Prevotellaceae:Prevotella_7						
SV_332	Bacteria:Firmicutes:Clostridia:Clostridiales:Family_XI:Peptoniphilus						
SV_333	Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Muribaculaceae:NA						
SV_334	Bacteria:Actinobacteria:Actinobacteria:Propionibacteriales:Propionibacteriaceae:Propionimicrobium						
SV_335	Bacteria:Firmicutes:Clostridia:Clostridiales:Ruminococcaceae:Fastidiosipila						
SV_336	Bacteria:Actinobacteria:Actinobacteria:Micrococcales:Microbacteriaceae:Pseudoclavibacter						
SV_337	Bacteria:Actinobacteria:Actinobacteria:Micrococcales:Dermabacteraceae:Dermabacter						
SV_338	Bacteria:Fusobacteria:Fusobacteriia:Fusobacteriales:Fusobacteriaceae:Fusobacterium						
SV_339	Bacteria:Firmicutes:Clostridia:Clostridiales:Family_XI:Peptoniphilus						
SV_340	Bacteria:Proteobacteria:Gammaproteobacteria:Enterobacteriales:Enterobacteriaceae:Escherichia/Shigella						
SV_341	Bacteria:Firmicutes:Clostridia:Clostridiales:Lachnospiraceae:Blautia						
SV_342	Bacteria:Proteobacteria:Gammaproteobacteria:Betaproteobacteriales:Neisseriaceae:Kingella						
SV_343	Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Tannerellaceae:Parabacteroides						
SV_344	Bacteria:Actinobacteria:Coriobacteriia:Coriobacteriales:Coriobacteriaceae:Collinsella						
SV_345	Bacteria:Fusobacteria:Fusobacteriia:Fusobacteriales:Fusobacteriaceae:Fusobacterium						
SV_346	Bacteria:Firmicutes:Clostridia:Clostridiales:Lachnospiraceae:NA						
SV_347	Bacteria:Firmicutes:Negativicutes:Selenomonadales:Acidaminococcaceae:Phascolarctobacterium						
SV_348	Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Bacteroidaceae:Bacteroides						
SV_349	Bacteria:Firmicutes:Clostridia:Clostridiales:Family_XI:Anaerococcus						
SV_350	Bacteria:Firmicutes:Bacilli:Bacillales:Family_XI:Gemella						
SV_351	Bacteria:Firmicutes:Clostridia:Clostridiales:Family_XI:Anaerococcus						
SV_352	Bacteria:Firmicutes:Bacilli:Lactobacillales:Aerococcaceae:Aerococcus						
SV_353	Bacteria:Firmicutes:Clostridia:Clostridiales:Ruminococcaceae:Ruminococcaceae_UCG-014						
SV_354	Bacteria:Proteobacteria:Alphaproteobacteria:Sphingomonadales:Sphingomonadaceae:Sphingobium						
SV_355	Bacteria:Firmicutes:Clostridia:Clostridiales:Christensenellaceae:Christensenellaceae_R-7_group						
SV_356	Bacteria:Fusobacteria:Fusobacteriia:Fusobacteriales:Fusobacteriaceae:Fusobacterium						
SV_357	Bacteria:Actinobacteria:Actinobacteria:Actinomycetales:Actinomycetaceae:Trueperella						
SV_358	Bacteria:Tenericutes:Mollicutes:Mycoplasmatales:Mycoplasmataceae:Ureaplasma						
SV_359	Bacteria:Firmicutes:Bacilli:Lactobacillales:Lactobacillaceae:Lactobacillus						
SV_360	Bacteria:Proteobacteria:Alphaproteobacteria:Rickettsiales:Mitochondria:NA						
SV_361	Bacteria:Fusobacteria:Fusobacteriia:Fusobacteriales:Fusobacteriaceae:Fusobacterium						
SV_362	Eukaryota:NA:NA:NA:NA:NA						
SV_363	Bacteria:Firmicutes:Clostridia:Clostridiales:Family_XI:Murdochiella						
SV_364	Bacteria:Firmicutes:Clostridia:Clostridiales:Ruminococcaceae:Fastidiosipila						
SV_365	Eukaryota:NA:NA:NA:NA:NA						
SV_366	Eukaryota:NA:NA:NA:NA:NA						
SV_367	Bacteria:Firmicutes:Clostridia:Clostridiales:Family_XI:Finegoldia						
SV_368	Bacteria:Firmicutes:Clostridia:Clostridiales:Lachnospiraceae:Moryella						
SV_369	Bacteria:Firmicutes:Clostridia:Clostridiales:Family_XI:Murdochiella						
SV_370	Bacteria:Firmicutes:Bacilli:Lactobacillales:Aerococcaceae:Facklamia						
SV_371	Bacteria:Firmicutes:Clostridia:Clostridiales:Ruminococcaceae:Fastidiosipila						
SV_372	Bacteria:Firmicutes:Clostridia:Clostridiales:Ruminococcaceae:Ruminococcus_2						
SV_373	Bacteria:Actinobacteria:Coriobacteriia:Coriobacteriales:Atopobiaceae:Atopobium						
SV_374	Bacteria:Proteobacteria:Gammaproteobacteria:Enterobacteriales:Enterobacteriaceae:Escherichia/Shigella						
SV_375	Bacteria:Firmicutes:Bacilli:Lactobacillales:Aerococcaceae:Facklamia						
SV_376	Bacteria:Firmicutes:Clostridia:Clostridiales:Lachnospiraceae:NA						
SV_377	Bacteria:Firmicutes:Clostridia:Clostridiales:NA:NA						
SV_378	Bacteria:Firmicutes:Clostridia:Clostridiales:Clostridiaceae_1:NA						
SV_379	Bacteria:Actinobacteria:Actinobacteria:Micrococcales:Dermacoccaceae:Kytococcus						
SV_380	Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Porphyromonadaceae:Porphyromonas						
SV_381	Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:NA:NA						
SV_382	Bacteria:Proteobacteria:Alphaproteobacteria:Rickettsiales:Mitochondria:NA						
SV_383	Bacteria:Firmicutes:Clostridia:Clostridiales:Lachnospiraceae:Anaerostipes						
SV_384	Bacteria:Firmicutes:Bacilli:Lactobacillales:Aerococcaceae:Aerococcus						
SV_385	Bacteria:Firmicutes:Bacilli:Lactobacillales:Lactobacillaceae:Lactobacillus						
SV_386	Bacteria:Firmicutes:Bacilli:Bacillales:Staphylococcaceae:Staphylococcus						
SV_387	Eukaryota:NA:NA:NA:NA:NA						
SV_388	Bacteria:Firmicutes:Clostridia:Clostridiales:Lachnospiraceae:Agathobacter						
SV_389	Bacteria:Firmicutes:Clostridia:Clostridiales:Family_XI:Anaerococcus						
SV_390	Bacteria:Proteobacteria:Gammaproteobacteria:Pasteurellales:Pasteurellaceae:Haemophilus						
SV_391	Bacteria:Firmicutes:Clostridia:Clostridiales:NA:NA						
SV_392	Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Porphyromonadaceae:Porphyromonas						
SV_393	Bacteria:Firmicutes:Bacilli:Bacillales:Family_XI:Gemella						
SV_394	Bacteria:Firmicutes:Clostridia:Clostridiales:Ruminococcaceae:NA						
SV_395	Bacteria:Firmicutes:Clostridia:Clostridiales:Family_XI:W5053						
SV_396	Bacteria:Actinobacteria:Actinobacteria:Actinomycetales:Actinomycetaceae:Trueperella						
SV_397	Bacteria:Firmicutes:Erysipelotrichia:Erysipelotrichales:Erysipelotrichaceae:Coprobacillus						
SV_398	Bacteria:Firmicutes:Negativicutes:Selenomonadales:Veillonellaceae:Anaeroglobus						
SV_399	Bacteria:Firmicutes:Clostridia:Clostridiales:Family_XI:NA						
SV_400	Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Barnesiellaceae:Barnesiella						
SV_401	Bacteria:Firmicutes:Clostridia:Clostridiales:Family_XI:Anaerococcus						
SV_402	Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Rikenellaceae:Alistipes						
SV_403	Bacteria:Firmicutes:Clostridia:Clostridiales:Ruminococcaceae:Fastidiosipila						
SV_404	Bacteria:Firmicutes:Clostridia:Clostridiales:Lachnospiraceae:Anaerostipes						
SV_405	Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Porphyromonadaceae:Porphyromonas						
SV_406	Bacteria:Firmicutes:Clostridia:Clostridiales:Lachnospiraceae:NA						
SV_407	Bacteria:Epsilonbacteraeota:Campylobacteria:Campylobacterales:Campylobacteraceae:Campylobacter						
SV_408	Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Prevotellaceae:Paraprevotella						
SV_409	Bacteria:Firmicutes:Clostridia:Clostridiales:Ruminococcaceae:Faecalibacterium						
SV_410	Bacteria:Fusobacteria:Fusobacteriia:Fusobacteriales:Fusobacteriaceae:Fusobacterium						
SV_411	Bacteria:Actinobacteria:Actinobacteria:Actinomycetales:Actinomycetaceae:Actinomyces						
SV_412	Bacteria:Firmicutes:Clostridia:Clostridiales:Family_XI:W5053						
SV_413	Bacteria:Firmicutes:Clostridia:Clostridiales:Ruminococcaceae:NA						
SV_414	Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Porphyromonadaceae:Porphyromonas						
SV_415	Bacteria:Actinobacteria:Actinobacteria:Micrococcales:Dermabacteraceae:Dermabacter						
SV_416	Bacteria:Firmicutes:Erysipelotrichia:Erysipelotrichales:Erysipelotrichaceae:Erysipelotrichaceae_UCG-003						
SV_417	Eukaryota:NA:NA:NA:NA:NA						
SV_418	Bacteria:Firmicutes:Bacilli:Lactobacillales:Lactobacillaceae:Lactobacillus						
SV_419	Bacteria:Proteobacteria:Gammaproteobacteria:Xanthomonadales:Xanthomonadaceae:Stenotrophomonas						
SV_420	Eukaryota:NA:NA:NA:NA:NA						
SV_421	Bacteria:Actinobacteria:Actinobacteria:Micrococcales:Brevibacteriaceae:Brevibacterium						
SV_422	Bacteria:Firmicutes:Erysipelotrichia:Erysipelotrichales:Erysipelotrichaceae:Solobacterium						
SV_423	Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Rikenellaceae:Alistipes						
SV_424	Bacteria:Firmicutes:Clostridia:Clostridiales:Lachnospiraceae:Moryella						
SV_425	Bacteria:Firmicutes:Negativicutes:Selenomonadales:Veillonellaceae:Veillonella						
SV_426	Bacteria:Firmicutes:Clostridia:Clostridiales:Lachnospiraceae:Coprococcus_1						
SV_427	Bacteria:Firmicutes:Bacilli:Lactobacillales:Carnobacteriaceae:Allofustis						
SV_428	Bacteria:Actinobacteria:Actinobacteria:Micrococcales:Micrococcaceae:Haematomicrobium						
SV_429	Bacteria:Actinobacteria:Coriobacteriia:Coriobacteriales:Eggerthellaceae:DNF00809						
SV_430	Bacteria:Firmicutes:Bacilli:Lactobacillales:Aerococcaceae:NA						
SV_431	Bacteria:Proteobacteria:Gammaproteobacteria:Pseudomonadales:Pseudomonadaceae:Pseudomonas						
SV_432	Bacteria:Firmicutes:Clostridia:Clostridiales:Ruminococcaceae:NA						
SV_433	Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Bacteroidaceae:Bacteroides						
SV_434	Bacteria:Proteobacteria:Gammaproteobacteria:Pseudomonadales:Pseudomonadaceae:Pseudomonas						
SV_435	Bacteria:Firmicutes:Bacilli:Bacillales:Staphylococcaceae:Nosocomiicoccus						
SV_436	Bacteria:Firmicutes:Clostridia:Clostridiales:Family_XI:Anaerococcus						
SV_437	Bacteria:Firmicutes:Clostridia:Clostridiales:Family_XI:Gallicola						
SV_438	Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Prevotellaceae:Prevotella_7						
SV_439	Bacteria:Firmicutes:Clostridia:Clostridiales:Lachnospiraceae:Lachnoclostridium						
SV_440	Bacteria:Tenericutes:Mollicutes:Mollicutes_RF39:NA:NA						
SV_441	Bacteria:Firmicutes:Clostridia:Clostridiales:Ruminococcaceae:Fastidiosipila						
SV_442	Bacteria:Verrucomicrobia:Verrucomicrobiae:Verrucomicrobiales:Akkermansiaceae:Akkermansia						
SV_443	Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Bacteroidaceae:Bacteroides						
SV_444	Bacteria:Actinobacteria:Actinobacteria:Frankiales:Geodermatophilaceae:Modestobacter						
SV_445	Bacteria:Firmicutes:Clostridia:Clostridiales:Family_XI:Anaerococcus						
SV_446	Bacteria:Firmicutes:Bacilli:Lactobacillales:Aerococcaceae:Facklamia						
SV_447	Bacteria:Firmicutes:Clostridia:Clostridiales:Family_XI:W5053						
SV_448	Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Rikenellaceae:Rikenellaceae_RC9_gut_group						
SV_449	Bacteria:Firmicutes:Bacilli:Lactobacillales:Streptococcaceae:Streptococcus						
SV_450	Bacteria:Proteobacteria:Gammaproteobacteria:Enterobacteriales:Enterobacteriaceae:Escherichia/Shigella						
SV_451	Bacteria:Firmicutes:Clostridia:Clostridiales:Ruminococcaceae:Oscillibacter						
SV_452	Bacteria:Firmicutes:Bacilli:Lactobacillales:Streptococcaceae:Streptococcus						
SV_453	Bacteria:Firmicutes:Clostridia:Clostridiales:Lachnospiraceae:Dorea						
SV_454	Bacteria:Firmicutes:Clostridia:Clostridiales:Lachnospiraceae:NA						
SV_455	Bacteria:Firmicutes:Clostridia:Clostridiales:Family_XI:Anaerococcus						
SV_456	Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Bacteroidaceae:Bacteroides						
SV_457	Bacteria:Actinobacteria:Actinobacteria:Micrococcales:Dermabacteraceae:Dermabacter						
SV_458	Bacteria:Firmicutes:Clostridia:Clostridiales:Lachnospiraceae:NA						
SV_459	Bacteria:Firmicutes:Clostridia:Clostridiales:Lachnospiraceae:NA						
SV_460	Bacteria:Firmicutes:Clostridia:Clostridiales:Family_XI:Anaerococcus						
SV_461	Bacteria:Firmicutes:Negativicutes:Selenomonadales:Veillonellaceae:Negativicoccus						
SV_462	Bacteria:Firmicutes:Clostridia:Clostridiales:Ruminococcaceae:Ruminococcus_1						
SV_463	Bacteria:Firmicutes:Clostridia:Clostridiales:Family_XIII:Mogibacterium						
SV_464	Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Bacteroidaceae:Bacteroides						
SV_465	Bacteria:Firmicutes:Clostridia:Clostridiales:NA:NA						
SV_466	Bacteria:Proteobacteria:Gammaproteobacteria:Betaproteobacteriales:Burkholderiaceae:Comamonas						
SV_467	Bacteria:Firmicutes:Bacilli:Lactobacillales:Carnobacteriaceae:Granulicatella						
SV_468	Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Muribaculaceae:NA						
SV_469	Bacteria:Firmicutes:Bacilli:Lactobacillales:Lactobacillaceae:Lactobacillus						
SV_470	Bacteria:Firmicutes:Clostridia:Clostridiales:Lachnospiraceae:CAG-56						
SV_471	Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Porphyromonadaceae:Porphyromonas						
SV_472	Bacteria:Firmicutes:Clostridia:Clostridiales:Family_XI:Peptoniphilus						
SV_473	Bacteria:Firmicutes:Clostridia:Clostridiales:Ruminococcaceae:UBA1819						
SV_474	Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Muribaculaceae:NA						
SV_475	Bacteria:Firmicutes:Clostridia:Clostridiales:Ruminococcaceae:Ruminococcaceae_NK4A214_group						
SV_476	Bacteria:Firmicutes:Clostridia:Clostridiales:Family_XI:Anaerococcus						
SV_477	Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Prevotellaceae:Prevotella_7						
SV_478	Bacteria:Proteobacteria:Gammaproteobacteria:Betaproteobacteriales:Burkholderiaceae:Sutterella						
SV_479	Bacteria:Proteobacteria:Gammaproteobacteria:Enterobacteriales:Enterobacteriaceae:NA						
SV_480	Bacteria:Firmicutes:Negativicutes:Selenomonadales:Veillonellaceae:Dialister						
SV_481	Bacteria:Synergistetes:Synergistia:Synergistales:Synergistaceae:Pyramidobacter						
SV_482	Bacteria:Firmicutes:Clostridia:Clostridiales:Ruminococcaceae:Fastidiosipila						
SV_483	Bacteria:Firmicutes:Bacilli:Lactobacillales:Aerococcaceae:Facklamia						
SV_484	Bacteria:Firmicutes:Clostridia:Clostridiales:Lachnospiraceae:Lachnospira						
SV_485	Bacteria:Firmicutes:Clostridia:Clostridiales:Family_XI:Anaerococcus						
SV_486	Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Prevotellaceae:Prevotella_6						
SV_487	Bacteria:Firmicutes:Clostridia:Clostridiales:Family_XIII:Mogibacterium						
SV_488	Bacteria:Firmicutes:Clostridia:Clostridiales:Family_XI:Peptoniphilus						
SV_489	Bacteria:Firmicutes:Bacilli:Lactobacillales:Aerococcaceae:Facklamia						
SV_490	Bacteria:Firmicutes:Clostridia:Clostridiales:Peptostreptococcaceae:Romboutsia						
SV_491	Bacteria:Firmicutes:Clostridia:Clostridiales:Ruminococcaceae:Flavonifractor						
SV_492	Bacteria:Firmicutes:Negativicutes:Selenomonadales:Veillonellaceae:Dialister						
SV_493	Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Bacteroidaceae:Bacteroides						
SV_494	Bacteria:Firmicutes:Clostridia:Clostridiales:Lachnospiraceae:Lachnospira						
SV_495	Bacteria:Actinobacteria:Actinobacteria:Corynebacteriales:Corynebacteriaceae:Corynebacterium_1						
SV_496	Bacteria:Firmicutes:Clostridia:Clostridiales:Family_XI:Finegoldia						
SV_497	Bacteria:Actinobacteria:Actinobacteria:Corynebacteriales:Corynebacteriaceae:Lawsonella						
SV_498	Bacteria:Firmicutes:Bacilli:Lactobacillales:Lactobacillaceae:Lactobacillus						
SV_499	Bacteria:Firmicutes:Clostridia:Clostridiales:Family_XI:Murdochiella						
SV_500	Bacteria:Firmicutes:Clostridia:Clostridiales:Ruminococcaceae:Ruminococcaceae_UCG-002						
SV_501	Bacteria:Firmicutes:Clostridia:Clostridiales:Lachnospiraceae:Lachnospiraceae_NK4A136_group						
SV_502	Bacteria:Firmicutes:Clostridia:Clostridiales:Family_XI:Peptoniphilus						
SV_503	Bacteria:Firmicutes:Clostridia:Clostridiales:Ruminococcaceae:Ruminococcaceae_UCG-014						
SV_504	Bacteria:Proteobacteria:Gammaproteobacteria:Betaproteobacteriales:Neisseriaceae:NA						
SV_505	Bacteria:Firmicutes:Clostridia:Clostridiales:Ruminococcaceae:Ruminococcus_1						
SV_506	Bacteria:Firmicutes:Negativicutes:Selenomonadales:Veillonellaceae:Anaeroglobus						
SV_507	Bacteria:Firmicutes:Clostridia:Clostridiales:Lachnospiraceae:Lachnospiraceae_ND3007_group						
SV_508	Bacteria:Fusobacteria:Fusobacteriia:Fusobacteriales:Fusobacteriaceae:Fusobacterium						
SV_509	Bacteria:Proteobacteria:Gammaproteobacteria:Enterobacteriales:Enterobacteriaceae:Escherichia/Shigella						
SV_510	Bacteria:Firmicutes:Clostridia:Clostridiales:Ruminococcaceae:Ruminococcaceae_NK4A214_group						
SV_511	Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Tannerellaceae:Parabacteroides						
SV_512	Bacteria:Firmicutes:Clostridia:Clostridiales:Ruminococcaceae:Faecalibacterium						
SV_513	Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Tannerellaceae:Parabacteroides						
SV_514	Bacteria:Actinobacteria:Actinobacteria:Micrococcales:Micrococcaceae:Rothia						
SV_515	Bacteria:Firmicutes:Clostridia:Clostridiales:Family_XI:Anaerococcus						
SV_516	Bacteria:Firmicutes:Clostridia:Clostridiales:Lachnospiraceae:Blautia						
SV_517	Bacteria:Firmicutes:Erysipelotrichia:Erysipelotrichales:Erysipelotrichaceae:Erysipelotrichaceae_UCG-003						
SV_518	Bacteria:Firmicutes:Clostridia:Clostridiales:Lachnospiraceae:Lachnospira						
SV_519	Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Muribaculaceae:NA						
SV_520	Bacteria:Firmicutes:Clostridia:Clostridiales:Ruminococcaceae:Ruminiclostridium_5						
SV_521	Bacteria:Tenericutes:Mollicutes:Mycoplasmatales:Mycoplasmataceae:Mycoplasma						
SV_522	Bacteria:Firmicutes:Clostridia:Clostridiales:Family_XI:Peptoniphilus						
SV_523	Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Prevotellaceae:Prevotella						
SV_524	Bacteria:Firmicutes:Clostridia:Clostridiales:Ruminococcaceae:Fastidiosipila						
SV_525	Bacteria:Firmicutes:Clostridia:Clostridiales:Ruminococcaceae:Butyricicoccus						
SV_526	Bacteria:Actinobacteria:Coriobacteriia:Coriobacteriales:Eggerthellaceae:DNF00809						
SV_527	Bacteria:Firmicutes:Clostridia:Clostridiales:Lachnospiraceae:Coprococcus_2						
SV_528	Bacteria:Firmicutes:Clostridia:Clostridiales:Lachnospiraceae:Lachnoclostridium						
SV_529	Bacteria:Firmicutes:Clostridia:Clostridiales:Family_XI:Helcococcus						
SV_530	Bacteria:Epsilonbacteraeota:Campylobacteria:Campylobacterales:Campylobacteraceae:Campylobacter						
SV_531	Bacteria:Firmicutes:Clostridia:Clostridiales:Ruminococcaceae:Ruminococcus_1						
SV_532	Bacteria:Firmicutes:Clostridia:Clostridiales:Peptostreptococcaceae:Intestinibacter						
SV_533	Bacteria:Actinobacteria:Actinobacteria:Corynebacteriales:Corynebacteriaceae:Corynebacterium_1						
SV_534	Bacteria:Firmicutes:Clostridia:Clostridiales:Lachnospiraceae:Agathobacter						
SV_535	Bacteria:Firmicutes:Clostridia:Clostridiales:Lachnospiraceae:Lachnospira						
SV_536	Bacteria:Firmicutes:Clostridia:Clostridiales:Lachnospiraceae:Agathobacter						
SV_537	Bacteria:Firmicutes:Bacilli:Bacillales:Staphylococcaceae:Staphylococcus						
SV_538	Bacteria:Actinobacteria:Actinobacteria:Corynebacteriales:Corynebacteriaceae:Corynebacterium						
SV_539	Eukaryota:NA:NA:NA:NA:NA						
SV_540	Bacteria:Firmicutes:Clostridia:Clostridiales:Family_XI:Murdochiella						
SV_541	Bacteria:Proteobacteria:Gammaproteobacteria:Betaproteobacteriales:Burkholderiaceae:Sutterella						
SV_542	Bacteria:Firmicutes:Clostridia:Clostridiales:Family_XI:Peptoniphilus						
SV_543	Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Porphyromonadaceae:Porphyromonas						
SV_544	Bacteria:Firmicutes:Clostridia:Clostridiales:Lachnospiraceae:Tyzzerella_4						
SV_545	Bacteria:Firmicutes:Clostridia:Clostridiales:Ruminococcaceae:Ruminococcaceae_UCG-013						
SV_546	Bacteria:Firmicutes:Bacilli:Bacillales:Staphylococcaceae:Nosocomiicoccus						
SV_547	Bacteria:Firmicutes:Clostridia:Clostridiales:Family_XI:Anaerococcus						
SV_548	Bacteria:Proteobacteria:Deltaproteobacteria:Desulfovibrionales:Desulfovibrionaceae:Bilophila						
SV_549	Bacteria:Firmicutes:Clostridia:Clostridiales:Family_XI:Anaerococcus						
