	Kingdom	Phylum	Class	Order	Family	Genus	Species
SV_31	Bacteria:Proteobacteria:Gammaproteobacteria:Pseudomonadales:Moraxellaceae:Acinetobacter						
SV_32	Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Prevotellaceae:Prevotella						
SV_33	Bacteria:Firmicutes:Negativicutes:Selenomonadales:Veillonellaceae:Veillonella						
SV_34	Bacteria:Firmicutes:Clostridia:Clostridiales:Family_XI:Anaerococcus						
SV_35	Bacteria:Firmicutes:Clostridia:Clostridiales:Family_XI:Ezakiella						
SV_36	Bacteria:Firmicutes:Negativicutes:Selenomonadales:Veillonellaceae:Dialister						
SV_37	Bacteria:Actinobacteria:Actinobacteria:Actinomycetales:Actinomycetaceae:Actinotignum						
SV_38	Bacteria:Firmicutes:Clostridia:Clostridiales:Family_XI:Finegoldia						
SV_39	Bacteria:Firmicutes:Bacilli:Lactobacillales:Streptococcaceae:Streptococcus						
SV_40	Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Prevotellaceae:Prevotella_7						
SV_41	Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Porphyromonadaceae:Porphyromonas						
SV_42	Bacteria:Firmicutes:Negativicutes:Selenomonadales:Veillonellaceae:Dialister						
SV_43	Bacteria:Firmicutes:Bacilli:Lactobacillales:Lactobacillaceae:Lactobacillus						
SV_44	Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Porphyromonadaceae:Porphyromonas						
SV_45	Bacteria:Firmicutes:Clostridia:Clostridiales:Family_XI:Anaerococcus						
SV_46	Bacteria:Proteobacteria:Gammaproteobacteria:Pasteurellales:Pasteurellaceae:Haemophilus						
SV_47	Bacteria:Actinobacteria:Actinobacteria:Bifidobacteriales:Bifidobacteriaceae:Alloscardovia						
SV_48	Bacteria:Firmicutes:Clostridia:Clostridiales:Family_XI:Peptoniphilus						
SV_49	Bacteria:Bacteroidetes:Bacteroidia:Flavobacteriales:Weeksellaceae:Bergeyella						
SV_50	Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Prevotellaceae:Prevotella						
SV_51	Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Prevotellaceae:Prevotella_6						
SV_52	Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Porphyromonadaceae:Porphyromonas						
SV_53	Bacteria:Firmicutes:Bacilli:Lactobacillales:Lactobacillaceae:Lactobacillus						
